date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,volume,high,low,MA5,MA20,Volume_avg
2023-09-19,5306,115533,16257019,141.5,142.0,140.0,140.5,-0.5,226,115533,142.0,140.0,140.5,140.5,115533.0
2023-09-20,5306,61467,8627514,142.0,142.0,140.0,140.0,-0.5,143,61467,142.0,140.0,140.25,140.25,88500.0
2023-09-21,5306,286757,39808137,140.0,140.0,138.0,138.5,-1.5,523,286757,140.0,138.0,139.66666666666666,139.66666666666666,154585.66666666666
2023-09-22,5306,698173,94197591,138.5,138.5,133.0,134.5,-4.0,1276,698173,138.5,133.0,138.375,138.375,290482.5
2023-09-25,5306,128870,17466189,135.5,136.0,135.0,135.5,1.0,324,128870,136.0,135.0,137.8,137.8,258160.0
2023-09-26,5306,66609,8980359,136.5,136.5,134.5,134.5,-1.0,281,66609,136.5,134.5,136.6,137.25,226234.83333333334
2023-09-27,5306,717623,93025810,134.5,134.5,127.5,128.0,-6.5,1395,717623,134.5,127.5,134.2,135.92857142857142,296433.14285714284
2023-09-28,5306,152514,19728628,128.0,130.5,128.0,129.0,1.0,327,152514,130.5,128.0,132.3,135.0625,278443.25
2023-10-02,5306,83363,10924577,129.5,132.0,129.5,132.0,3.0,183,83363,132.0,129.5,131.8,134.72222222222223,256767.66666666666
2023-10-03,5306,60923,8020431,132.5,132.5,131.0,131.5,-0.5,186,60923,132.5,131.0,131.0,134.4,237183.2
2023-10-04,5306,47182,6145486,131.5,131.5,129.5,130.5,-1.0,155,47182,131.5,129.5,130.2,134.04545454545453,219910.36363636365
2023-10-05,5306,20557,2688102,130.5,131.0,130.5,130.5,0.0,100,20557,131.0,130.5,130.7,133.75,203297.58333333334
2023-10-06,5306,19432,2544593,130.5,131.5,130.0,131.5,1.0,67,19432,131.5,130.0,131.2,133.57692307692307,189154.07692307694
2023-10-11,5306,63906,8360106,132.0,132.0,130.0,130.0,-1.5,172,63906,132.0,130.0,130.8,133.32142857142858,180207.7857142857
2023-10-12,5306,53813,7028041,130.0,131.0,130.0,130.5,0.5,155,53813,131.0,130.0,130.6,133.13333333333333,171781.46666666667
2023-10-13,5306,117773,15271009,130.5,131.0,129.0,129.0,-1.5,337,117773,131.0,129.0,130.3,132.875,168405.9375
2023-10-16,5306,69352,8931815,129.0,129.5,128.0,129.0,0.0,236,69352,129.5,128.0,130.0,132.64705882352942,162579.23529411765
2023-10-17,5306,54631,7040297,129.0,129.5,128.5,129.0,0.0,142,54631,129.5,128.5,129.5,132.44444444444446,156582.11111111112
2023-10-18,5306,586710,72688799,129.0,129.0,120.0,120.0,-9.0,1057,586710,129.0,120.0,127.5,131.78947368421052,179220.42105263157
2023-10-19,5306,373099,45228294,121.0,124.5,120.0,124.5,4.5,675,373099,124.5,120.0,126.3,131.425,188914.35
2023-10-20,5306,97674,12145872,124.5,126.0,122.0,125.5,1.0,203,97674,126.0,122.0,125.6,130.675,188021.4
2023-10-23,5306,24683,3059275,125.0,125.0,123.0,123.0,-2.5,133,24683,125.0,123.0,124.4,129.825,186182.2
2023-10-24,5306,48700,6002829,123.0,124.5,122.5,123.5,0.5,117,48700,124.5,122.5,123.3,129.075,174279.35
2023-10-25,5306,121863,15213944,125.0,127.0,123.5,125.0,1.5,192,121863,127.0,123.5,124.3,128.6,145463.85
2023-10-26,5306,173394,21815227,127.0,127.0,124.5,126.5,1.5,189,173394,127.0,124.5,124.7,128.15,147690.05
2023-10-27,5306,102692,12793580,127.0,127.0,123.0,124.0,-2.5,257,102692,127.0,123.0,124.4,127.625,149494.2
2023-10-30,5306,103027,12567675,124.0,124.0,121.0,121.5,-2.5,248,103027,124.0,121.0,124.1,127.3,118764.4
2023-10-31,5306,142451,17178921,121.0,121.5,120.0,120.5,-1.0,357,142451,121.5,120.0,123.5,126.875,118261.25
2023-11-01,5306,18760,2270835,120.5,121.5,120.5,121.5,1.0,104,18760,121.5,120.5,122.8,126.35,115031.1
2023-11-02,5306,58941,7167536,122.0,122.5,121.0,121.0,-0.5,140,58941,122.5,121.0,121.7,125.825,114932.0
2023-11-03,5306,158335,19565913,122.0,125.0,121.0,124.5,3.5,258,158335,125.0,121.0,121.8,125.525,120489.65
2023-11-06,5306,211597,27261511,125.0,130.0,125.0,129.5,5.0,301,211597,130.0,125.0,123.4,125.475,130041.65
2023-11-07,5306,62081,7991975,128.5,129.5,128.0,128.5,-1.0,92,62081,129.5,128.0,125.0,125.325,132174.1
2023-11-08,5306,64775,8290516,128.0,128.0,127.5,127.5,-1.0,111,64775,128.0,127.5,126.2,125.2,132217.55
2023-11-09,5306,139231,17451083,127.0,127.0,124.5,125.0,-2.5,332,139231,127.0,124.5,127.0,124.925,136488.45
2023-11-10,5306,113495,13986708,124.0,124.5,122.5,122.5,-2.5,264,113495,124.5,122.5,126.6,124.6,136274.55
2023-11-13,5306,393907,47314374,121.5,121.5,119.0,119.5,-3.0,863,393907,121.5,119.0,124.6,124.125,152502.3
2023-11-14,5306,227498,26863789,119.0,119.0,117.5,117.5,-2.0,580,227498,119.0,117.5,122.4,123.55,161145.65
2023-11-15,5306,511353,60367677,117.5,119.0,116.5,118.5,1.0,585,511353,119.0,116.5,120.6,123.475,157377.8
2023-11-16,5306,485041,58676000,118.0,123.0,118.0,121.0,2.5,587,485041,123.0,118.0,119.8,123.3,162974.9
2023-11-17,5306,114088,13880760,121.5,123.0,121.0,122.0,1.0,206,114088,123.0,121.0,119.7,123.125,163795.6
2023-11-20,5306,479228,59364357,122.0,125.0,122.0,124.5,2.5,376,479228,125.0,122.0,120.7,123.2,186522.85
2023-11-21,5306,346798,42909876,123.5,125.0,123.0,124.0,-0.5,555,346798,125.0,123.0,122.0,123.225,201427.75
2023-11-22,5306,213465,26378260,123.0,125.0,122.5,124.5,0.5,244,213465,125.0,122.5,123.2,123.2,206007.85
2023-11-23,5306,116116,14335114,124.0,125.0,123.0,123.0,-1.5,195,116116,125.0,123.0,123.6,123.025,203143.95
2023-11-24,5306,74594,9166052,123.0,123.5,122.5,122.5,-0.5,164,74594,123.5,122.5,123.7,122.95,201739.05
2023-11-27,5306,73457,9003819,123.5,123.5,122.0,123.0,0.5,213,73457,123.5,122.0,123.4,123.025,200260.55
2023-11-28,5306,2068406,270534926,125.5,134.0,124.5,133.0,10.0,1956,2068406,134.0,124.5,125.2,123.65,296558.3
2023-11-29,5306,1985052,260283810,133.5,137.0,125.5,127.0,-6.0,1802,1985052,137.0,125.5,125.7,123.925,394872.9
2023-11-30,5306,570138,72632342,128.5,129.0,125.5,127.0,0.0,707,570138,129.0,125.5,126.5,124.225,420432.75
2023-12-01,5306,874541,113989422,127.5,132.0,127.5,129.5,2.5,851,874541,132.0,127.5,127.9,124.475,456243.05
