date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,volume,high,low,MA5,MA20,Volume_avg
2023-09-19,6288,1394146,42191430,30.55,30.75,30.0,30.05,-0.35,921,1394146,30.75,30.0,30.05,30.05,1394146.0
2023-09-20,6288,1556262,46403060,30.0,30.15,29.6,29.6,-0.45,1041,1556262,30.15,29.6,29.825000000000003,29.825000000000003,1475204.0
2023-09-21,6288,1241443,36343313,29.45,29.5,29.15,29.4,-0.2,802,1241443,29.5,29.15,29.683333333333334,29.683333333333334,1397283.6666666667
2023-09-22,6288,855811,25089218,29.2,29.6,28.95,29.45,0.05,545,855811,29.6,28.95,29.625,29.625,1261915.5
2023-09-25,6288,4840485,149202243,30.1,31.4,30.1,31.0,1.55,2834,4840485,31.4,30.1,29.9,29.9,1977629.4
2023-09-26,6288,3200330,100049701,31.1,31.6,31.0,31.2,0.2,1993,3200330,31.6,31.0,30.130000000000003,30.116666666666664,2181412.8333333335
2023-09-27,6288,3805724,117133198,31.4,31.5,30.3,30.3,-0.9,2158,3805724,31.5,30.3,30.27,30.142857142857142,2413457.285714286
2023-09-28,6288,1791900,53837533,30.25,30.35,29.9,29.9,-0.4,1250,1791900,30.35,29.9,30.369999999999997,30.1125,2335762.625
2023-10-02,6288,1610692,49227505,30.05,30.9,30.05,30.6,0.7,977,1610692,30.9,30.05,30.6,30.166666666666668,2255199.222222222
2023-10-03,6288,25289783,825258421,31.85,33.65,31.0,31.0,0.4,11081,25289783,33.65,31.0,30.6,30.25,4558657.6
2023-10-04,6288,28313706,929373879,30.8,33.8,30.75,33.3,2.3,15986,28313706,33.8,30.75,31.02,30.527272727272727,6718207.454545454
2023-10-05,6288,20409532,673770631,33.7,34.25,32.5,32.55,-0.75,11148,20409532,34.25,32.5,31.47,30.695833333333336,7859151.166666667
2023-10-06,6288,10500000,345985003,32.9,33.6,32.05,33.5,0.95,6261,10500000,33.6,32.05,32.19,30.911538461538463,8062293.384615385
2023-10-11,6288,7310259,238517106,33.5,33.5,32.1,32.15,-1.35,4425,7310259,33.5,32.1,32.5,31.0,8008576.642857143
2023-10-12,6288,4540564,148455322,32.1,33.1,32.1,32.55,0.4,2800,4540564,33.1,32.1,32.809999999999995,31.103333333333335,7777375.8
2023-10-13,6288,3346380,108806604,32.55,33.0,32.15,32.25,-0.3,2231,3346380,33.0,32.15,32.6,31.175,7500438.5625
2023-10-16,6288,3242198,102634984,32.4,32.6,31.25,31.3,-0.95,1993,3242198,32.6,31.25,32.35,31.18235294117647,7249953.823529412
2023-10-17,6288,1941034,61653203,31.75,32.2,31.5,31.55,0.25,1374,1941034,32.2,31.5,31.96,31.202777777777776,6955013.833333333
2023-10-18,6288,2845705,87930283,31.3,31.55,30.5,30.9,-0.65,1753,2845705,31.55,30.5,31.709999999999997,31.186842105263157,6738734.421052632
2023-10-19,6288,1342666,41582859,30.75,31.35,30.45,31.1,0.2,878,1342666,31.35,30.45,31.420000000000005,31.182499999999997,6468931.0
2023-10-20,6288,2059136,62671759,30.95,31.0,30.0,30.45,-0.65,1275,2059136,31.0,30.0,31.060000000000002,31.202500000000004,6502180.5
2023-10-23,6288,1990530,62427611,30.45,32.1,30.2,31.2,0.75,1400,1990530,32.1,30.2,31.04,31.2825,6523893.9
2023-10-24,6288,2009337,63607635,31.95,32.1,31.3,31.75,0.55,1522,2009337,32.1,31.3,31.080000000000002,31.4,6562288.6
2023-10-25,6288,2051171,65530442,31.95,32.35,31.65,31.85,0.1,1232,2051171,32.35,31.65,31.27,31.52,6622056.6
2023-10-26,6288,1500196,47037454,31.35,32.05,31.0,31.0,-0.85,1027,1500196,32.05,31.0,31.25,31.52,6455042.15
2023-10-27,6288,1675568,51631301,31.2,31.4,30.4,30.45,-0.55,1117,1675568,31.4,30.4,31.25,31.482499999999998,6378804.05
2023-10-30,6288,848278,25962102,30.6,30.85,30.4,30.45,0.0,660,848278,30.85,30.4,31.1,31.49,6230931.75
2023-10-31,6288,2930687,87829173,30.8,30.85,29.55,29.55,-0.9,1603,2930687,30.85,29.55,30.660000000000004,31.472500000000004,6287871.1
2023-11-01,6288,1539974,45473295,29.7,29.9,29.3,29.4,-0.15,944,1539974,29.9,29.3,30.169999999999998,31.4125,6284335.2
2023-11-02,6288,891425,26733454,29.9,30.15,29.75,30.05,0.65,597,891425,30.15,29.75,29.98,31.365,5064417.3
2023-11-03,6288,1122515,33820567,30.6,30.6,30.0,30.0,-0.05,643,1122515,30.6,30.0,29.889999999999997,31.2,3704857.75
2023-11-06,6288,912720,27759084,30.05,30.6,30.05,30.35,0.35,628,912720,30.6,30.05,29.870000000000005,31.089999999999996,2730017.15
2023-11-07,6288,1701242,50941553,30.0,30.25,29.7,29.8,-0.55,931,1701242,30.25,29.7,29.919999999999998,30.905,2290079.25
2023-11-08,6288,922683,27548231,29.8,30.25,29.6,29.75,-0.05,567,922683,30.25,29.6,29.990000000000002,30.785000000000004,1970700.45
2023-11-09,6288,1872932,55126800,29.75,29.8,29.2,29.25,-0.5,1088,1872932,29.8,29.2,29.830000000000002,30.620000000000005,1837318.85
2023-11-10,6288,1090712,31947142,29.25,29.55,29.15,29.2,-0.05,631,1090712,29.55,29.15,29.669999999999998,30.4675,1724535.45
2023-11-13,6288,2287824,65948676,29.2,29.4,28.55,28.75,-0.45,1270,2287824,29.4,28.55,29.35,30.339999999999996,1676816.75
2023-11-14,6288,982007,28421117,29.0,29.25,28.75,28.95,0.2,565,982007,29.25,28.75,29.18,30.21,1628865.4
2023-11-15,6288,2040929,59640376,29.3,29.7,28.95,28.95,0.0,1011,2040929,29.7,28.95,29.02,30.1125,1588626.6
2023-11-16,6288,1126467,32657249,29.1,29.25,28.85,28.95,0.0,600,1126467,29.25,28.85,28.96,30.005000000000003,1577816.65
2023-11-17,6288,860016,25110124,29.15,29.4,29.0,29.1,0.15,570,860016,29.4,29.0,28.939999999999998,29.9375,1517860.65
2023-11-20,6288,878709,25829465,29.35,29.6,29.2,29.45,0.35,565,878709,29.6,29.2,29.080000000000002,29.85,1462269.6
2023-11-21,6288,2083082,62131953,29.7,30.1,29.55,29.7,0.25,1101,2083082,30.1,29.55,29.23,29.747500000000002,1465956.85
2023-11-22,6288,1016183,30319159,29.65,30.0,29.6,29.8,0.1,692,1016183,30.0,29.6,29.4,29.645,1414207.45
2023-11-23,6288,2336334,70861588,30.0,30.7,29.9,30.2,0.4,1235,2336334,30.7,29.9,29.65,29.605,1456014.35
2023-11-24,6288,1366873,40983312,30.1,30.5,29.7,29.7,-0.5,967,1366873,30.5,29.7,29.77,29.567499999999995,1440579.6
2023-11-27,6288,845712,25075994,29.75,30.05,29.55,29.55,-0.15,490,845712,30.05,29.55,29.790000000000003,29.5225,1440451.3
2023-11-28,6288,651959,19465124,29.55,30.05,29.55,29.95,0.4,410,651959,30.05,29.55,29.839999999999996,29.542499999999997,1326514.9
2023-11-29,6288,1112172,33486461,30.1,30.35,29.9,29.9,-0.05,630,1112172,30.35,29.9,29.859999999999996,29.567500000000003,1305124.8
2023-11-30,6288,1003788,30345004,30.0,30.4,29.95,30.3,0.4,622,1003788,30.4,29.95,29.880000000000003,29.580000000000002,1310742.95
