date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,volume,high,low,MA5,MA20,Volume_avg
2023-09-19,9914,571918,107826625,189.5,192.0,187.0,187.5,-2.0,714,571918,192.0,187.0,187.5,187.5,571918.0
2023-09-20,9914,270361,50232058,187.5,187.5,184.5,185.0,-2.5,510,270361,187.5,184.5,186.25,186.25,421139.5
2023-09-21,9914,182133,33383243,185.5,185.5,182.0,183.0,-2.0,450,182133,185.5,182.0,185.16666666666666,185.16666666666666,341470.6666666667
2023-09-22,9914,195263,35771684,182.5,184.0,181.0,184.0,1.0,252,195263,184.0,181.0,184.875,184.875,304918.75
2023-09-25,9914,237936,43697211,184.0,185.0,182.5,183.0,-1.0,381,237936,185.0,182.5,184.5,184.5,291522.2
2023-09-26,9914,755335,134548792,183.0,183.0,176.5,177.5,-5.5,1250,755335,183.0,176.5,182.5,183.33333333333334,368824.3333333333
2023-09-27,9914,1110229,193408723,177.5,178.0,172.0,176.0,-1.5,1869,1110229,178.0,172.0,180.7,182.28571428571428,474739.28571428574
2023-09-28,9914,801274,140267128,176.0,176.5,173.5,175.0,-1.0,781,801274,176.5,173.5,179.1,181.375,515556.125
2023-10-02,9914,295988,53149566,175.5,181.5,175.5,180.5,5.5,416,295988,181.5,175.5,178.4,181.27777777777777,491159.6666666667
2023-10-03,9914,417216,74511667,180.5,181.0,177.0,179.0,-1.5,498,417216,181.0,177.0,177.6,181.05,483765.3
2023-10-04,9914,629123,110695462,179.5,179.5,175.0,176.0,-3.0,597,629123,179.5,175.0,177.3,180.5909090909091,496979.63636363635
2023-10-05,9914,264731,47216557,177.0,180.0,176.5,178.5,2.5,298,264731,180.0,176.5,177.8,180.41666666666666,477625.5833333333
2023-10-06,9914,379091,67388668,178.5,181.5,176.5,177.5,-1.0,384,379091,181.5,176.5,178.3,180.19230769230768,470046.0
2023-10-11,9914,417160,74615905,179.0,180.0,177.0,180.0,2.5,413,417160,180.0,177.0,178.2,180.17857142857142,466268.4285714286
2023-10-12,9914,529221,94383895,180.0,180.0,176.5,179.5,-0.5,620,529221,180.0,176.5,178.3,180.13333333333333,470465.26666666666
2023-10-13,9914,262938,47233153,178.0,180.5,178.0,180.0,0.5,308,262938,180.5,178.0,179.1,180.125,457494.8125
2023-10-16,9914,314226,55770939,180.0,180.0,175.0,175.5,-4.5,498,314226,180.0,175.0,178.5,179.85294117647058,449067.23529411765
2023-10-17,9914,215756,37937351,177.0,177.0,175.0,175.0,-0.5,273,215756,177.0,175.0,178.0,179.58333333333334,436105.5
