date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,volume,high,low,MA5,MA20,Volume_avg
2023-09-19,911868,196000,221470,1.13,1.13,1.12,1.13,0.0,41,196000,1.13,1.12,1.13,1.13,196000.0
2023-09-20,911868,244000,276690,1.13,1.14,1.12,1.13,0.0,33,244000,1.14,1.12,1.13,1.13,220000.0
2023-09-21,911868,281000,315650,1.13,1.13,1.12,1.12,-0.01,30,281000,1.13,1.12,1.1266666666666667,1.1266666666666667,240333.33333333334
2023-09-22,911868,195000,220700,1.12,1.14,1.12,1.13,0.01,49,195000,1.14,1.12,1.1275,1.1275,229000.0
2023-09-25,911868,172000,195310,1.14,1.14,1.13,1.13,0.0,49,172000,1.14,1.13,1.128,1.128,217600.0
2023-09-26,911868,115000,129830,1.13,1.13,1.12,1.13,0.0,28,115000,1.13,1.12,1.128,1.1283333333333332,200500.0
2023-09-27,911868,134000,151380,1.13,1.14,1.12,1.13,0.0,41,134000,1.14,1.12,1.128,1.1285714285714286,191000.0
2023-09-28,911868,359000,407720,1.13,1.14,1.13,1.13,0.0,58,359000,1.14,1.13,1.13,1.12875,212000.0
2023-10-02,911868,842000,959620,1.14,1.15,1.13,1.14,0.01,99,842000,1.15,1.13,1.132,1.13,282000.0
2023-10-03,911868,287000,327140,1.14,1.15,1.13,1.13,-0.01,67,287000,1.15,1.13,1.132,1.13,282500.0
2023-10-04,911868,167000,188430,1.14,1.14,1.12,1.13,0.0,32,167000,1.14,1.12,1.132,1.13,272000.0
2023-10-05,911868,216000,244570,1.13,1.14,1.13,1.13,0.0,37,216000,1.14,1.13,1.132,1.13,267333.3333333333
2023-10-06,911868,433000,485750,1.14,1.14,1.12,1.13,0.0,49,433000,1.14,1.12,1.132,1.13,280076.92307692306
2023-10-11,911868,231000,259010,1.12,1.13,1.12,1.13,0.0,30,231000,1.13,1.12,1.13,1.13,276571.4285714286
2023-10-12,911868,203000,228840,1.13,1.14,1.12,1.14,0.01,41,203000,1.14,1.12,1.1320000000000001,1.1306666666666665,271666.6666666667
2023-10-13,911868,163000,182700,1.12,1.13,1.12,1.13,-0.01,27,163000,1.13,1.12,1.1320000000000001,1.130625,264875.0
2023-10-16,911868,330000,366490,1.12,1.13,1.1,1.13,0.0,57,330000,1.13,1.1,1.1320000000000001,1.1305882352941177,268705.8823529412
2023-10-17,911868,92000,102890,1.12,1.12,1.11,1.12,-0.01,23,92000,1.12,1.11,1.1300000000000001,1.13,258888.88888888888
2023-10-18,911868,123000,136970,1.12,1.12,1.11,1.12,0.0,38,123000,1.12,1.11,1.1280000000000001,1.1294736842105262,251736.84210526315
2023-10-19,911868,320000,360160,1.12,1.13,1.11,1.12,0.0,40,320000,1.13,1.11,1.1239999999999999,1.129,255150.0
2023-10-20,911868,114000,126750,1.13,1.13,1.11,1.12,0.0,23,114000,1.13,1.11,1.1220000000000003,1.1285,251050.0
2023-10-23,911868,14991,16750,1.12,1.12,1.12,1.12,0.0,10,14991,1.12,1.12,1.12,1.128,239599.55
2023-10-24,911868,96000,107150,1.12,1.12,1.11,1.12,0.0,23,96000,1.12,1.11,1.12,1.128,230349.55
2023-10-25,911868,182000,202060,1.12,1.12,1.11,1.12,0.0,34,182000,1.12,1.11,1.12,1.1275,229699.55
2023-10-26,911868,69000,76610,1.11,1.12,1.11,1.12,0.0,10,69000,1.12,1.11,1.12,1.127,224549.55
2023-10-27,911868,27000,29980,1.11,1.12,1.11,1.12,0.0,7,27000,1.12,1.11,1.12,1.1265,220149.55
2023-10-30,911868,208000,230320,1.11,1.12,1.1,1.11,-0.01,47,208000,1.12,1.1,1.118,1.1255000000000002,223849.55
