date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,volume,high,low,MA5,MA20,Volume_avg
2023-09-19,3669,514923,21643417,42.75,42.85,41.55,41.55,-1.45,416,514923,42.85,41.55,41.55,41.55,514923.0
2023-09-20,3669,603712,25400613,41.0,43.0,40.95,42.15,0.6,479,603712,43.0,40.95,41.849999999999994,41.849999999999994,559317.5
2023-09-21,3669,289656,12162066,41.5,42.45,41.5,41.9,-0.25,244,289656,42.45,41.5,41.86666666666667,41.86666666666667,469430.3333333333
2023-09-22,3669,155892,6493873,41.75,42.15,41.35,41.85,-0.05,220,155892,42.15,41.35,41.8625,41.8625,391045.75
2023-09-25,3669,77410,3248666,42.25,42.25,41.85,42.0,0.15,76,77410,42.25,41.85,41.89,41.89,328318.6
2023-09-26,3669,87678,3635983,42.0,42.0,41.1,41.25,-0.75,122,87678,42.0,41.1,41.83,41.78333333333333,288211.8333333333
2023-09-27,3669,707953,30420047,41.65,43.5,41.4,43.4,2.15,620,707953,43.5,41.4,42.08,42.01428571428572,348174.85714285716
2023-09-28,3669,1756040,77706458,43.9,45.05,43.2,43.7,0.3,1358,1756040,45.05,43.2,42.44,42.225,524158.0
2023-10-02,3669,2979542,139881601,43.8,48.05,43.8,48.05,4.35,2219,2979542,48.05,43.8,43.68,42.87222222222223,796978.4444444445
2023-10-03,3669,5733533,277560233,48.05,50.6,46.65,48.35,0.3,4241,5733533,50.6,46.65,44.95,43.42,1290633.9
2023-10-04,3669,7149912,363567145,47.6,53.1,47.45,53.1,4.75,5075,7149912,53.1,47.45,47.32000000000001,44.300000000000004,1823295.5454545454
2023-10-05,3669,11102199,591689019,53.5,54.5,52.2,53.6,0.5,6534,11102199,54.5,52.2,49.36,45.074999999999996,2596537.5
2023-10-06,3669,3321994,166600877,51.9,51.9,48.7,49.4,-4.2,2369,3321994,51.9,48.7,50.5,45.4076923076923,2652341.846153846
2023-10-11,3669,1610637,76777073,48.65,49.4,46.65,47.2,-2.2,1071,1610637,49.4,46.65,50.33,45.535714285714285,2577934.3571428573
2023-10-12,3669,977638,46421294,47.2,48.3,46.8,47.3,0.1,801,977638,48.3,46.8,50.120000000000005,45.65333333333333,2471247.933333333
2023-10-13,3669,861846,40393003,47.0,47.85,45.7,47.35,0.05,613,861846,47.85,45.7,48.97,45.759375,2370660.3125
2023-10-16,3669,1228030,58361117,47.4,49.25,46.1,46.1,-1.25,959,1228030,49.25,46.1,47.47,45.779411764705884,2303446.7647058824
2023-10-17,3669,654424,30682667,46.85,47.75,46.15,46.4,0.3,608,654424,47.75,46.15,46.87,45.81388888888889,2211834.388888889
2023-10-18,3669,445604,20627921,46.5,47.35,45.8,46.3,-0.1,400,445604,47.35,45.8,46.69,45.83947368421053,2118874.8947368423
2023-10-19,3669,687028,31639417,46.3,47.0,44.75,47.0,0.7,564,687028,47.0,44.75,46.629999999999995,45.8975,2047282.55
2023-10-20,3669,383168,17807427,46.9,46.95,46.0,46.85,-0.15,328,383168,46.95,46.0,46.529999999999994,46.1625,2040694.8
2023-10-23,3669,490099,22950307,46.7,47.7,45.7,46.8,-0.05,369,490099,47.7,45.7,46.67,46.394999999999996,2035014.15
2023-10-24,3669,708297,33787420,46.55,48.25,46.55,48.05,1.25,594,708297,48.25,46.55,47.0,46.7025,2055946.2
2023-10-25,3669,531228,25482811,48.2,48.6,47.5,47.8,-0.25,467,531228,48.6,47.5,47.3,47.0,2074713.0
2023-10-26,3669,564299,26041784,47.75,47.75,45.3,45.3,-2.5,538,564299,47.75,45.3,46.96,47.165,2099057.45
2023-10-27,3669,1948163,96309986,46.0,49.8,46.0,49.8,4.5,1224,1948163,49.8,46.0,47.55,47.592499999999994,2192081.7
2023-10-30,3669,8080849,431417160,51.8,54.7,51.2,52.0,2.2,5369,8080849,54.7,51.2,48.589999999999996,48.022499999999994,2560726.5
2023-10-31,3669,3557779,173637528,52.0,52.0,46.8,46.9,-5.1,2674,3557779,52.0,46.8,48.36,48.1825,2650813.45
2023-11-01,3669,3241446,154342691,46.85,48.8,46.1,47.0,0.1,2517,3241446,48.8,46.1,48.2,48.129999999999995,2663908.65
2023-11-02,3669,1282355,61437624,47.2,48.9,47.0,48.7,1.7,1106,1282355,48.9,47.0,48.879999999999995,48.147499999999994,2441349.75
2023-11-03,3669,726629,35118280,48.75,49.45,47.55,47.85,-0.85,573,726629,49.45,47.55,48.489999999999995,47.885000000000005,2120185.6
2023-11-06,3669,983880,45486904,47.25,47.3,45.1,46.2,-1.65,789,983880,47.3,45.1,47.33,47.515,1614269.65
2023-11-07,3669,1016732,47621062,46.75,48.35,45.85,46.15,-0.05,803,1016732,48.35,45.85,47.18,47.352500000000006,1499006.55
2023-11-08,3669,589284,27684335,46.65,47.75,45.95,46.65,0.5,502,589284,47.75,45.95,47.11,47.325,1447938.9
2023-11-09,3669,378376,17488211,47.15,47.15,45.9,45.95,-0.7,355,378376,47.15,45.9,46.56,47.25750000000001,1417975.8
2023-11-10,3669,454222,20820190,45.95,47.1,45.25,45.3,-0.65,468,454222,47.1,45.25,46.05,47.155,1397594.6
2023-11-13,3669,266090,12121798,45.95,45.95,45.0,45.8,0.5,208,266090,45.95,45.0,45.97,47.14,1349497.6
2023-11-14,3669,2955157,141037502,48.0,49.3,46.35,46.6,0.8,2183,2955157,49.3,46.35,46.059999999999995,47.15,1464534.25
2023-11-15,3669,5932257,291161361,46.9,51.0,46.75,48.7,2.1,4614,5932257,51.0,46.75,46.47,47.269999999999996,1738866.9
2023-11-16,3669,8885752,453836141,49.6,53.2,49.0,51.6,2.9,6098,8885752,53.2,49.0,47.6,47.5,2148803.1
