date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,volume,high,low,MA5,MA20,Volume_avg
2023-09-19,5607,1505198,77352890,52.0,52.1,51.0,51.1,-0.6,2330,1505198,52.1,51.0,51.1,51.1,1505198.0
2023-09-20,5607,607592,31112887,51.0,51.6,50.7,51.0,-0.1,829,607592,51.6,50.7,51.05,51.05,1056395.0
2023-09-21,5607,1760860,88281167,50.9,50.9,49.7,49.95,-1.05,1771,1760860,50.9,49.7,50.68333333333334,50.68333333333334,1291216.6666666667
2023-09-22,5607,820963,41201123,49.75,51.0,49.1,50.4,0.45,802,820963,51.0,49.1,50.6125,50.6125,1173653.25
2023-09-25,5607,472105,23839121,50.3,50.9,50.1,50.4,0.0,490,472105,50.9,50.1,50.57,50.57,1033343.6
2023-09-26,5607,304005,15313249,50.5,50.6,50.1,50.4,0.0,436,304005,50.6,50.1,50.43,50.541666666666664,911787.1666666666
2023-09-27,5607,181721,9176540,50.4,50.7,50.2,50.5,0.1,250,181721,50.7,50.2,50.33,50.535714285714285,807492.0
2023-09-28,5607,397734,20038488,50.8,50.8,50.2,50.3,-0.2,358,397734,50.8,50.2,50.4,50.50625,756272.25
2023-10-02,5607,1553177,80988629,50.9,53.2,50.9,52.5,2.2,1165,1553177,53.2,50.9,50.82000000000001,50.72777777777778,844817.2222222222
2023-10-03,5607,2425770,128987359,54.0,54.2,52.5,53.0,0.5,1811,2425770,54.2,52.5,51.339999999999996,50.955,1002912.5
2023-10-04,5607,886541,46838979,52.5,53.4,52.0,53.0,0.0,747,886541,53.4,52.0,51.86,51.14090909090908,992333.2727272727
2023-10-05,5607,833951,44550438,53.6,54.0,52.8,52.9,-0.1,771,833951,54.0,52.8,52.339999999999996,51.2875,979134.75
2023-10-06,5607,883071,46237585,53.1,53.2,51.9,52.5,-0.4,724,883071,53.2,51.9,52.779999999999994,51.38076923076923,971745.2307692308
2023-10-11,5607,658517,34181247,53.0,53.0,51.5,51.9,-0.6,611,658517,53.0,51.5,52.65999999999999,51.417857142857144,949371.7857142857
2023-10-12,5607,409882,21314426,51.9,52.6,51.7,52.0,0.1,332,409882,52.6,51.7,52.459999999999994,51.45666666666667,913405.8
2023-10-13,5607,578065,30097007,52.1,52.7,51.3,51.7,-0.3,498,578065,52.7,51.3,52.2,51.471875,892447.0
2023-10-16,5607,624934,32075198,51.7,52.0,50.8,51.3,-0.4,582,624934,52.0,50.8,51.879999999999995,51.46176470588235,876710.9411764706
2023-10-17,5607,575494,29270268,51.3,51.6,50.3,50.4,-0.9,617,575494,51.6,50.3,51.46,51.40277777777778,859976.6666666666
2023-10-18,5607,1212771,61333361,50.2,52.2,49.55,52.2,1.8,910,1212771,52.2,49.55,51.52,51.444736842105264,878544.7894736842
2023-10-19,5607,917693,46110602,50.9,50.9,49.8,50.1,-2.1,961,917693,50.9,49.8,51.14,51.3775,880502.2
2023-10-20,5607,1688815,81914388,50.1,50.1,47.85,47.9,-2.2,2364,1688815,50.1,47.85,50.38,51.217499999999994,889683.05
