date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,volume,high,low,MA5,MA20,Volume_avg
2023-09-19,2701,97594,1212064,12.45,12.5,12.4,12.45,0.0,76,97594,12.5,12.4,12.45,12.45,97594.0
2023-09-20,2701,189261,2342713,12.45,12.45,12.35,12.35,-0.1,113,189261,12.45,12.35,12.399999999999999,12.399999999999999,143427.5
2023-09-21,2701,687913,8430176,12.35,12.35,12.2,12.25,-0.1,218,687913,12.35,12.2,12.35,12.35,324922.6666666667
2023-09-22,2701,261922,3222840,12.35,12.35,12.2,12.35,0.1,129,261922,12.35,12.2,12.35,12.35,309172.5
2023-09-25,2701,76739,951409,12.35,12.45,12.35,12.4,0.05,81,76739,12.45,12.35,12.36,12.36,262685.8
2023-09-26,2701,128725,1595281,12.4,12.45,12.35,12.35,-0.05,80,128725,12.45,12.35,12.34,12.358333333333334,240359.0
2023-09-27,2701,129374,1594126,12.35,12.4,12.3,12.35,0.0,69,129374,12.4,12.3,12.34,12.357142857142858,224504.0
2023-09-28,2701,132757,1641389,12.4,12.45,12.3,12.35,0.0,76,132757,12.45,12.3,12.36,12.35625,213035.625
2023-10-02,2701,125484,1554207,12.4,12.45,12.35,12.4,0.05,75,125484,12.45,12.35,12.370000000000001,12.36111111111111,203307.66666666666
2023-10-03,2701,118638,1474078,12.4,12.5,12.35,12.45,0.05,70,118638,12.5,12.35,12.379999999999999,12.370000000000001,194840.7
2023-10-04,2701,294548,3623834,12.45,12.45,12.25,12.3,-0.15,76,294548,12.45,12.25,12.370000000000001,12.363636363636363,203905.0
2023-10-05,2701,158105,1958482,12.3,12.45,12.3,12.4,0.1,98,158105,12.45,12.3,12.379999999999999,12.366666666666667,200088.33333333334
2023-10-06,2701,173040,2158963,12.45,12.6,12.4,12.4,0.0,113,173040,12.6,12.4,12.389999999999999,12.36923076923077,198007.6923076923
2023-10-11,2701,294950,3634104,12.45,12.5,12.25,12.3,-0.1,242,294950,12.5,12.25,12.370000000000001,12.364285714285714,204932.14285714287
2023-10-12,2701,372908,4586701,12.4,12.45,12.25,12.3,0.0,320,372908,12.45,12.25,12.34,12.360000000000001,216130.53333333333
2023-10-13,2701,219738,2714454,12.25,12.45,12.25,12.3,0.0,123,219738,12.45,12.25,12.34,12.35625,216356.0
2023-10-16,2701,93424,1149918,12.35,12.35,12.3,12.3,0.0,60,93424,12.35,12.3,12.32,12.352941176470589,209124.70588235295
2023-10-17,2701,197131,2418008,12.35,12.4,12.2,12.25,-0.05,126,197131,12.4,12.2,12.290000000000001,12.347222222222221,208458.38888888888
2023-10-18,2701,294714,3585545,12.25,12.25,12.1,12.1,-0.15,154,294714,12.25,12.1,12.25,12.33421052631579,212998.15789473685
2023-10-19,2701,146090,1769466,12.1,12.2,12.05,12.15,0.05,111,146090,12.2,12.05,12.22,12.325,209652.75
2023-10-20,2701,296535,3574711,12.1,12.1,12.0,12.1,-0.05,128,296535,12.1,12.0,12.18,12.307500000000001,219599.8
2023-10-23,2701,237574,2872826,12.1,12.2,12.05,12.05,-0.05,148,237574,12.2,12.05,12.13,12.2925,222015.45
2023-10-24,2701,65813,796863,12.05,12.15,12.05,12.1,0.05,49,65813,12.15,12.05,12.1,12.285,190910.45
2023-10-25,2701,74110,902842,12.2,12.2,12.15,12.15,0.05,59,74110,12.2,12.15,12.11,12.275,181519.85
