date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,volume,high,low,MA5,MA20,Volume_avg
2023-09-19,1439,26248,600620,22.95,23.15,22.75,22.9,0.0,23,26248,23.15,22.75,22.9,22.9,26248.0
2023-09-20,1439,9000,206250,22.9,23.2,22.85,22.85,-0.05,6,9000,23.2,22.85,22.875,22.875,17624.0
2023-09-21,1439,13125,299450,22.85,22.85,22.75,22.75,-0.1,12,13125,22.85,22.75,22.833333333333332,22.833333333333332,16124.333333333334
2023-09-22,1439,13455,306291,22.7,23.0,22.7,22.7,-0.05,15,13455,23.0,22.7,22.8,22.8,15457.0
2023-09-25,1439,104394,2475768,23.45,23.9,23.0,23.05,0.35,31,104394,23.9,23.0,22.85,22.85,33244.4
2023-09-26,1439,5046,115484,22.9,22.9,22.85,22.9,-0.15,7,5046,22.9,22.85,22.85,22.858333333333334,28544.666666666668
2023-09-27,1439,16000,365200,22.9,22.9,22.7,22.7,-0.2,16,16000,22.9,22.7,22.82,22.835714285714285,26752.571428571428
2023-09-28,1439,6000,136200,22.7,22.7,22.7,22.7,0.0,4,6000,22.7,22.7,22.81,22.81875,24158.5
2023-10-02,1439,4250,97131,22.75,23.0,22.75,23.0,0.3,6,4250,23.0,22.75,22.869999999999997,22.83888888888889,21946.444444444445
2023-10-03,1439,8001,182372,23.0,23.0,22.7,22.7,-0.3,8,8001,23.0,22.7,22.8,22.825,20551.9
2023-10-04,1439,15616,353048,22.65,22.7,22.55,22.55,-0.15,17,15616,22.7,22.55,22.729999999999997,22.8,20103.18181818182
2023-10-05,1439,10006,229336,23.0,23.0,22.8,22.8,0.25,12,10006,23.0,22.8,22.75,22.8,19261.75
2023-10-06,1439,11030,251126,22.9,22.9,22.7,22.7,-0.1,11,11030,22.9,22.7,22.75,22.792307692307695,18628.53846153846
2023-10-11,1439,9100,207550,22.65,23.0,22.6,22.75,0.05,10,9100,23.0,22.6,22.7,22.789285714285715,17947.928571428572
2023-10-12,1439,2006,46234,23.05,23.05,23.05,23.05,0.3,4,2006,23.05,23.05,22.77,22.80666666666667,16885.133333333335
2023-10-13,1439,32198,737293,23.05,23.05,22.65,22.65,-0.4,13,32198,23.05,22.65,22.79,22.796875,17842.1875
2023-10-16,1439,8000,181700,22.65,22.75,22.65,22.75,0.1,6,8000,22.75,22.65,22.78,22.794117647058822,17263.235294117647
2023-10-17,1439,5000,113950,22.8,22.8,22.75,22.75,0.0,3,5000,22.8,22.75,22.79,22.791666666666668,16581.944444444445
2023-10-18,1439,16000,366550,22.8,23.3,22.75,23.15,0.4,14,16000,23.3,22.75,22.869999999999997,22.810526315789474,16551.315789473683
2023-10-19,1439,33301,763897,23.1,23.1,22.7,22.75,-0.4,17,33301,23.1,22.7,22.81,22.807499999999997,17388.8
2023-10-20,1439,30008,688082,22.7,23.25,22.65,22.7,-0.05,21,30008,23.25,22.65,22.82,22.797500000000003,17576.8
2023-10-23,1439,8078,183473,22.75,22.75,22.7,22.7,0.0,13,8078,22.75,22.7,22.81,22.79,17530.7
2023-10-24,1439,22000,496800,22.75,22.75,22.55,22.55,-0.15,8,22000,22.75,22.55,22.77,22.78,17974.45
2023-10-25,1439,5159,117433,22.8,22.8,22.75,22.75,0.2,7,5159,22.8,22.75,22.69,22.7825,17559.65
2023-10-26,1439,11000,251650,22.7,23.1,22.7,22.85,0.1,10,11000,23.1,22.7,22.71,22.7725,12889.95
2023-10-30,1439,2001,45522,22.75,22.75,22.75,22.75,0.0,2,2001,22.75,22.75,22.72,22.765,12737.7
2023-10-31,1439,12002,272894,22.8,22.8,22.65,22.65,-0.1,8,12002,22.8,22.65,22.71,22.7625,12537.8
2023-11-01,1439,16003,363166,22.7,22.9,22.6,22.75,0.1,13,16003,22.9,22.6,22.75,22.764999999999997,13037.95
2023-11-02,1439,5279,119471,22.75,22.8,22.45,22.8,0.05,9,5279,22.8,22.45,22.759999999999998,22.755,13089.4
2023-11-03,1439,13001,295072,22.65,22.75,22.65,22.75,-0.05,3,13001,22.75,22.65,22.74,22.7575,13339.4
2023-11-06,1439,13258,302642,22.65,22.9,22.65,22.65,-0.1,15,13258,22.9,22.65,22.72,22.7625,13221.5
2023-11-07,1439,6043,137280,22.7,22.8,22.65,22.7,0.05,10,6043,22.8,22.65,22.73,22.7575,13023.35
2023-11-08,1439,1531,34472,22.7,22.7,22.7,22.7,0.0,5,1531,22.7,22.7,22.72,22.7575,12548.4
2023-11-09,1439,43020,955200,22.05,22.4,22.05,22.4,-0.3,60,43020,22.4,22.05,22.64,22.74,14244.4
2023-11-10,1439,4317,96574,22.4,22.4,22.4,22.4,0.0,9,4317,22.4,22.4,22.57,22.7075,14359.95
2023-11-13,1439,5030,112569,22.35,22.45,22.3,22.3,-0.1,6,5030,22.45,22.3,22.5,22.69,13001.55
2023-11-14,1439,13163,295488,22.3,22.8,22.3,22.8,0.5,14,13163,22.8,22.3,22.520000000000003,22.6925,13259.7
2023-11-15,1439,14000,319700,22.8,23.0,22.8,23.0,0.2,14,14000,23.0,22.8,22.580000000000002,22.705,13709.7
2023-11-16,1439,7000,160950,23.0,23.0,22.95,23.0,0.0,6,7000,23.0,22.95,22.7,22.697499999999998,13259.7
2023-11-17,1439,1133,25831,22.8,22.8,22.8,22.8,-0.2,4,1133,22.8,22.8,22.78,22.7,11651.3
2023-11-20,1439,17409,397269,22.8,23.05,22.4,23.05,0.25,20,17409,23.05,22.4,22.93,22.717499999999998,11021.35
2023-11-21,1439,21053,484113,23.05,23.1,22.75,23.05,0.0,19,21053,23.1,22.75,22.98,22.735,11670.1
2023-11-22,1439,13150,298758,22.5,22.9,22.5,22.9,-0.15,24,13150,22.9,22.5,22.96,22.752499999999998,11227.6
2023-11-23,1439,14132,321953,23.0,23.0,22.65,22.9,0.0,9,14132,23.0,22.65,22.939999999999998,22.759999999999998,11676.25
2023-11-24,1439,6434,148855,23.15,23.25,23.0,23.0,0.1,11,6434,23.25,23.0,22.98,22.767500000000002,11447.95
2023-11-27,1439,13000,299000,23.0,23.0,23.0,23.0,0.0,5,13000,23.0,23.0,22.97,22.78,11997.9
2023-11-28,1439,10001,229973,23.0,23.0,22.95,22.95,-0.05,7,10001,23.0,22.95,22.949999999999996,22.795,11897.85
2023-11-29,1439,3671,83764,22.8,22.9,22.8,22.9,-0.05,6,3671,22.9,22.8,22.95,22.8025,11281.25
2023-11-30,1439,12448,285467,22.9,23.0,22.9,22.95,0.05,13,12448,23.0,22.9,22.959999999999997,22.81,11639.7
2023-12-01,1439,2216,50489,22.8,22.8,22.8,22.8,-0.15,6,2216,22.8,22.8,22.919999999999998,22.8125,11100.45
2023-12-04,1439,7030,160740,22.8,23.0,22.8,22.8,0.0,8,7030,23.0,22.8,22.88,22.82,10789.05
2023-12-05,1439,13010,297434,22.6,23.05,22.6,22.75,-0.05,10,13010,23.05,22.6,22.84,22.822499999999998,11137.4
2023-12-06,1439,15251,347215,22.6,22.9,22.6,22.9,0.15,16,15251,22.9,22.6,22.839999999999996,22.8325,11823.4
2023-12-07,1439,4000,91600,22.9,22.9,22.9,22.9,0.0,2,4000,22.9,22.9,22.830000000000002,22.8575,9872.4
2023-12-08,1439,42000,964750,22.9,23.1,22.9,23.1,0.2,16,42000,23.1,22.9,22.889999999999997,22.8925,11756.55
2023-12-11,1439,17000,395200,23.15,23.5,23.15,23.15,0.05,15,17000,23.5,23.15,22.96,22.935,12355.05
2023-12-12,1439,33278,774560,23.3,23.35,23.2,23.35,0.2,32,33278,23.35,23.2,23.080000000000002,22.9625,13360.8
2023-12-13,1439,7307,169872,23.2,23.3,23.2,23.25,-0.1,9,7307,23.3,23.2,23.15,22.975,13026.15
2023-12-14,1439,14660,341416,23.45,23.45,23.25,23.4,0.15,12,14660,23.45,23.25,23.25,22.995,13409.15
2023-12-15,1439,13029,307229,23.7,23.7,23.3,23.6,0.2,13,13029,23.7,23.3,23.35,23.035,14003.95
2023-12-18,1439,707120,17859127,23.85,25.95,23.85,24.8,1.2,435,707120,25.95,23.85,23.68,23.1225,48489.5
2023-12-19,1439,155720,3791432,24.8,24.8,24.05,24.05,-0.75,145,155720,24.8,24.05,23.82,23.1725,55222.85
2023-12-20,1439,19300,468920,24.45,24.45,24.15,24.3,0.25,17,19300,24.45,24.15,24.029999999999998,23.2425,55530.35
2023-12-21,1439,47353,1154534,24.25,24.55,24.2,24.4,0.1,37,47353,24.55,24.2,24.23,23.3175,57191.4
2023-12-22,1439,28159,687242,24.65,24.65,24.3,24.35,-0.05,35,28159,24.65,24.3,24.380000000000003,23.384999999999998,58277.65
2023-12-25,1439,35486,860032,24.55,24.55,24.15,24.35,0.0,31,35486,24.55,24.15,24.29,23.452499999999997,59401.95
2023-12-26,1439,18000,439800,24.6,24.6,24.15,24.55,0.2,17,18000,24.6,24.15,24.39,23.5325,59801.9
2023-12-27,1439,26434,640570,24.5,24.5,24.0,24.4,-0.15,25,26434,24.5,24.0,24.410000000000004,23.6075,60940.05
2023-12-28,1439,34289,833120,24.35,24.4,24.15,24.4,0.0,36,34289,24.4,24.15,24.41,23.68,62032.1
2023-12-29,1439,14357,347275,24.2,24.55,24.1,24.2,-0.2,15,14357,24.55,24.1,24.380000000000003,23.75,62639.15
2024-01-02,1439,6316,153160,24.6,24.6,24.05,24.05,-0.15,10,6316,24.6,24.05,24.32,23.8125,62603.45
2024-01-03,1439,26093,632257,24.0,24.4,24.0,24.3,0.25,23,26093,24.4,24.0,24.27,23.89,63257.6
2024-01-04,1439,22000,535000,24.4,24.45,24.05,24.3,0.0,13,22000,24.45,24.05,24.25,23.96,63595.05
2024-01-05,1439,10000,242850,24.3,24.45,24.2,24.3,0.0,8,10000,24.45,24.2,24.23,24.029999999999998,63895.05
2024-01-08,1439,109294,2769548,24.5,26.3,24.5,24.9,0.6,93,109294,26.3,24.5,24.369999999999997,24.12,67259.75
2024-01-09,1439,18255,452855,25.3,25.3,24.4,24.4,-0.5,24,18255,25.3,24.4,24.44,24.182499999999997,67322.5
2024-01-10,1439,40413,969595,24.2,24.2,23.9,24.05,-0.35,39,40413,24.2,23.9,24.39,24.2175,67679.25
2024-01-11,1439,12014,294737,24.5,24.7,24.25,24.6,0.55,12,12014,24.7,24.25,24.45,24.285000000000004,67914.6
2024-01-12,1439,30132,750134,24.85,25.0,24.8,24.8,0.2,23,30132,25.0,24.8,24.55,24.354999999999997,68688.2
2024-01-15,1439,31100,774630,24.95,25.15,24.6,24.75,-0.05,28,31100,25.15,24.6,24.520000000000003,24.4125,69591.75
2024-01-16,1439,46000,1126150,24.5,25.0,24.3,24.45,-0.3,32,46000,25.0,24.3,24.53,24.395000000000003,36535.75
2024-01-17,1439,63058,1539725,24.1,25.15,24.05,24.35,-0.1,47,63058,25.15,24.05,24.59,24.41,31902.65
2024-01-18,1439,9350,226390,24.3,24.3,24.2,24.2,-0.15,10,9350,24.3,24.2,24.509999999999998,24.404999999999998,31405.15
2024-01-19,1439,46300,1112324,24.1,24.65,23.3,24.2,0.0,42,46300,24.65,23.3,24.389999999999997,24.395000000000003,31352.5
2024-01-22,1439,7030,169623,24.2,24.2,24.1,24.1,-0.1,7,7030,24.2,24.1,24.259999999999998,24.3825,30296.05
2024-01-23,1439,50349,1213190,24.1,24.25,24.0,24.15,0.05,30,50349,24.25,24.0,24.2,24.372500000000002,31039.2
2024-01-24,1439,21090,517472,24.5,25.0,24.1,24.25,0.1,13,21090,25.0,24.1,24.18,24.3575,31193.7
2024-01-25,1439,4002,97600,24.7,24.7,24.25,24.25,0.0,6,4002,24.7,24.25,24.189999999999998,24.35,30072.1
2024-01-26,1439,42225,1040971,24.65,24.7,24.1,24.45,0.2,27,42225,24.7,24.1,24.240000000000002,24.3525,30468.9
2024-01-29,1439,15101,373199,24.65,25.0,24.45,24.75,0.3,13,15101,25.0,24.45,24.369999999999997,24.380000000000003,30506.1
2024-01-30,1439,14340,356713,24.75,25.0,24.75,24.8,0.05,19,14340,25.0,24.75,24.5,24.4175,30907.3
2024-01-31,1439,36587,912818,24.8,25.0,24.65,24.65,-0.15,25,36587,25.0,24.65,24.58,24.435,31432.0
2024-02-01,1439,60369,1522976,24.7,25.4,24.65,25.2,0.55,57,60369,25.4,24.65,24.770000000000003,24.479999999999997,33350.45
2024-02-02,1439,50021,1276285,25.2,25.85,25.05,25.45,0.25,35,50021,25.85,25.05,24.97,24.5375,35351.5
2024-02-05,1439,23262,588538,25.45,25.45,25.15,25.3,-0.15,22,23262,25.45,25.15,25.080000000000002,24.557499999999997,31049.9
2024-02-15,1439,19292,482550,25.2,25.2,24.7,25.0,-0.3,25,19292,25.2,24.7,25.119999999999997,24.5875,31101.75
2024-02-16,1439,26182,663344,25.05,25.65,25.05,25.1,0.1,32,26182,25.65,25.05,25.21,24.64,30390.2
2024-02-19,1439,31000,776850,25.1,25.1,24.85,24.85,-0.25,19,31000,25.1,24.85,25.14,24.652499999999996,31339.5
2024-02-20,1439,20283,506596,24.9,25.25,24.75,24.8,-0.05,16,20283,25.25,24.75,25.009999999999998,24.6525,30847.05
2024-02-21,1439,23672,591075,24.8,25.1,24.8,24.85,0.05,46,23672,25.1,24.8,24.919999999999998,24.657500000000002,30475.65
2024-02-22,1439,12232,304665,24.85,25.0,24.8,24.85,0.0,9,12232,25.0,24.8,24.89,24.6775,28787.25
2024-02-23,1439,18121,451653,25.2,25.2,24.85,24.85,0.0,30,18121,25.2,24.85,24.840000000000003,24.7025,26540.4
2024-02-26,1439,23182,576565,25.05,25.1,24.75,24.85,0.0,19,23182,25.1,24.75,24.84,24.735000000000003,27232.0
2024-02-27,1439,33174,824774,24.85,25.0,24.75,24.9,0.05,45,33174,25.0,24.75,24.860000000000003,24.77,26575.7
2024-02-29,1439,25122,625680,25.0,25.0,24.8,24.8,-0.1,32,25122,25.0,24.8,24.85,24.805,27480.3
2024-03-01,1439,13469,332126,24.6,24.75,24.6,24.7,-0.1,19,13469,24.75,24.6,24.82,24.8325,25636.3
2024-03-04,1439,64026,1600136,24.7,25.3,24.7,24.9,0.2,48,64026,25.3,24.7,24.830000000000002,24.865,27783.1
2024-03-05,1439,12438,308446,24.8,24.8,24.75,24.75,-0.15,11,12438,24.8,24.75,24.81,24.889999999999997,28204.9
2024-03-06,1439,25011,622323,24.8,25.0,24.75,24.9,0.15,15,25011,25.0,24.75,24.810000000000002,24.9125,27344.2
2024-03-07,1439,69451,1715956,24.9,25.0,24.5,24.65,-0.25,62,69451,25.0,24.5,24.779999999999998,24.9075,30061.7
2024-03-08,1439,33324,820543,24.55,24.9,24.5,24.55,-0.1,29,33324,24.9,24.5,24.749999999999996,24.895,31010.9
2024-03-11,1439,32468,802288,24.3,24.95,24.2,24.5,-0.05,27,32468,24.95,24.2,24.669999999999998,24.8875,30804.95
2024-03-12,1439,32101,797824,24.5,25.0,24.5,24.9,0.4,27,32101,25.0,24.5,24.7,24.8725,29391.55
2024-03-13,1439,14000,348650,24.9,25.0,24.85,24.9,0.0,13,14000,25.0,24.85,24.699999999999996,24.845000000000002,27590.5
2024-03-14,1439,47200,1188198,25.2,25.5,24.9,24.9,0.0,36,47200,25.5,24.9,24.75,24.825,28787.4
2024-03-15,1439,44873,1109075,25.05,25.1,24.55,24.55,-0.35,45,44873,25.1,24.55,24.75,24.802500000000002,30066.45
2024-03-18,1439,46082,1144323,24.7,25.05,24.7,25.0,0.45,29,46082,25.05,24.7,24.85,24.7975,31061.45
2024-03-19,1439,19000,471600,24.9,24.95,24.65,24.95,-0.05,17,19000,24.95,24.65,24.86,24.802500000000002,30461.45
2024-03-20,1439,99879,2512528,25.35,25.75,24.75,25.2,0.25,93,99879,25.75,24.75,24.919999999999998,24.822499999999998,34441.25
2024-03-21,1439,212298,5486792,25.5,26.05,25.45,26.0,0.8,131,212298,26.05,25.45,25.139999999999997,24.88,43872.55
2024-03-22,1439,383034,10253347,26.5,28.0,25.6,26.1,0.1,297,383034,28.0,25.6,25.45,24.942500000000003,62412.65
2024-03-25,1439,256957,6903161,26.5,27.5,26.15,27.4,1.3,216,256957,27.5,26.15,25.93,25.07,74354.45
2024-03-26,1439,309351,8696238,27.8,28.4,27.5,28.2,0.8,279,309351,28.4,27.5,26.580000000000002,25.2375,88662.9
2024-03-27,1439,160767,4497801,28.55,28.55,27.55,27.75,-0.45,143,160767,28.55,27.55,27.090000000000003,25.380000000000003,95042.55
2024-03-28,1439,138164,3879750,27.95,28.3,27.7,28.25,0.5,109,138164,28.3,27.7,27.540000000000003,25.552500000000002,100694.65
2024-03-29,1439,54553,1527593,28.25,28.35,27.9,28.0,-0.25,56,54553,28.35,27.9,27.919999999999998,25.7175,102748.85
2024-04-01,1439,117903,3294971,27.9,28.25,27.6,27.9,-0.1,166,117903,28.25,27.6,28.02,25.8675,105442.7
2024-04-02,1439,150329,4046889,27.9,27.9,26.4,26.4,-1.5,206,150329,27.9,26.4,27.660000000000004,25.95,112337.25
2024-04-03,1439,127586,3333724,26.4,27.3,25.75,27.2,0.8,122,127586,27.3,25.75,27.55,26.064999999999998,117466.0
2024-04-08,1439,64350,1773013,27.2,27.8,27.2,27.4,0.2,78,64350,27.8,27.2,27.380000000000003,26.202499999999997,117210.95
2024-04-09,1439,99153,2678140,27.05,27.4,26.85,26.9,-0.5,76,99153,27.4,26.85,27.160000000000004,26.32,120502.4
2024-04-10,1439,68108,1839116,27.0,27.15,26.85,26.95,0.05,43,68108,27.15,26.85,26.97,26.442500000000003,122284.4
2024-04-11,1439,50169,1345964,26.35,26.95,26.35,26.6,-0.35,30,50169,26.95,26.35,27.01,26.527500000000003,123187.8
2024-04-12,1439,19000,501800,26.25,26.5,26.25,26.45,-0.15,17,19000,26.5,26.25,26.860000000000003,26.605,123437.8
2024-04-15,1439,36117,953969,26.45,26.75,26.0,26.55,0.1,34,36117,26.75,26.0,26.689999999999998,26.6875,122883.65
2024-04-16,1439,52476,1372613,26.25,26.35,26.0,26.05,-0.5,71,52476,26.35,26.0,26.52,26.7625,123263.8
2024-04-17,1439,17598,457864,26.0,26.1,25.9,26.05,0.0,52,17598,26.1,25.9,26.339999999999996,26.814999999999998,121839.6
2024-04-18,1439,92073,2473049,26.05,27.55,26.05,27.05,1.0,59,92073,27.55,26.05,26.43,26.919999999999998,125493.25
2024-04-19,1439,68492,1806146,27.1,27.1,25.8,26.4,-0.65,98,68492,27.1,25.8,26.419999999999998,26.979999999999997,123923.9
2024-04-22,1439,1194611,34369065,26.5,29.0,26.5,29.0,2.6,757,1194611,29.0,26.5,26.910000000000004,27.129999999999995,173039.55
2024-04-23,1439,567278,15834384,28.2,28.6,27.4,28.1,-0.9,452,567278,28.6,27.4,27.32,27.23,182251.75
2024-04-24,1439,309568,8628239,28.5,28.5,27.35,27.35,-0.75,255,309568,28.5,27.35,27.580000000000002,27.2275,184882.3
2024-04-25,1439,120127,3347761,27.1,28.15,27.1,28.0,0.65,115,120127,28.15,27.1,27.77,27.2175,175421.1
2024-04-26,1439,614239,17777193,28.05,29.9,28.05,28.4,0.4,479,614239,29.9,28.05,28.169999999999998,27.25,198094.7
2024-04-29,1439,235212,6859744,28.7,29.6,28.7,28.95,0.55,210,235212,29.6,28.7,28.159999999999997,27.285000000000004,202947.1
2024-04-30,1439,188915,5379742,28.9,28.9,28.2,28.45,-0.5,205,188915,28.9,28.2,28.23,27.307499999999997,209665.2
2024-05-02,1439,348875,10180599,28.45,29.5,28.4,29.5,1.05,215,348875,29.5,28.4,28.660000000000004,27.3875,221213.8
2024-05-03,1439,558106,16576203,29.75,31.0,29.0,29.65,0.15,409,558106,31.0,29.0,28.99,27.55,241602.65
2024-05-06,1439,511136,15617691,29.65,31.3,29.15,31.0,1.35,478,511136,31.3,29.15,29.51,27.740000000000002,260780.15
2024-05-07,1439,378237,11403268,31.45,31.45,29.3,29.85,-1.15,339,378237,31.45,29.3,29.689999999999998,27.8625,276474.5
2024-05-08,1439,279674,8021393,29.85,29.85,28.2,28.2,-1.65,234,279674,29.85,28.2,29.640000000000004,27.9275,285500.55
2024-05-09,1439,130114,3701438,28.35,28.85,28.1,28.35,0.15,102,130114,28.85,28.1,29.410000000000004,27.997500000000002,288600.85
2024-05-10,1439,124064,3555431,28.35,29.05,28.0,28.9,0.55,98,124064,29.05,28.0,29.26,28.1125,292295.6
2024-05-13,1439,53227,1528899,29.15,29.15,28.6,28.8,-0.1,39,53227,29.15,28.6,28.82,28.229999999999997,294006.95
2024-05-14,1439,148932,4258216,28.8,28.8,28.4,28.4,-0.4,82,148932,28.8,28.4,28.53,28.3225,299647.7
2024-05-15,1439,243122,6830767,29.25,29.25,27.55,28.1,-0.3,240,243122,29.25,27.55,28.51,28.425,309180.0
2024-05-16,1439,187768,5315278,28.6,28.65,28.1,28.5,0.4,137,187768,28.65,28.1,28.54,28.547499999999996,317688.5
2024-05-17,1439,83912,2388775,28.5,28.8,28.2,28.25,-0.25,71,83912,28.8,28.2,28.410000000000004,28.607499999999998,317280.45
2024-05-20,1439,152413,4369950,28.8,29.5,28.15,29.2,0.95,117,152413,29.5,28.15,28.49,28.747500000000002,321476.5
2024-05-21,1439,67463,1925795,29.35,29.35,28.4,28.45,-0.75,90,67463,29.35,28.4,28.5,28.720000000000006,265119.1
2024-05-22,1439,74444,2096887,28.45,28.7,27.9,28.2,-0.25,67,74444,28.7,27.9,28.52,28.725,240477.4
2024-05-23,1439,179486,4933260,27.95,28.0,27.15,27.35,-0.85,176,179486,28.0,27.15,28.290000000000003,28.725,233973.3
2024-05-24,1439,30010,818668,27.15,27.4,27.05,27.4,0.05,34,30010,27.4,27.05,28.119999999999997,28.695,229467.45
2024-05-27,1439,51499,1412147,27.4,27.6,27.3,27.3,-0.1,70,51499,27.6,27.3,27.74,28.640000000000004,201330.45
2024-05-28,1439,72322,1982409,27.35,27.65,27.3,27.35,0.05,63,72322,27.65,27.3,27.52,28.559999999999995,193185.95
2024-05-29,1439,38872,1074868,27.6,27.95,27.35,27.8,0.45,39,38872,27.95,27.35,27.439999999999998,28.527500000000003,185683.8
2024-05-30,1439,79273,2198730,27.8,28.4,27.55,27.55,-0.25,85,79273,28.4,27.55,27.48,28.43,172203.7
