date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,volume,high,low,MA5,MA20,Volume_avg
2023-09-26,020007,1000,34660,34.66,34.66,34.66,34.66,0.0,1,1000,34.66,34.66,34.66,34.66,1000.0
2023-10-02,020007,100000,3490000,34.9,34.9,34.9,34.9,0.0,1,100000,34.9,34.9,34.78,34.78,50500.0
2024-02-29,020007,1000,39650,39.65,39.65,39.65,39.65,0.0,1,1000,39.65,39.65,36.40333333333333,36.40333333333333,34000.0
2024-03-01,020007,1000,40050,40.05,40.05,40.05,40.05,0.4,1,1000,40.05,40.05,37.315,37.315,25750.0
2024-03-07,020007,10000,415200,41.52,41.52,41.52,41.52,0.0,1,10000,41.52,41.52,38.156,38.156,22600.0
2024-03-29,020007,1000,42700,42.7,42.7,42.7,42.7,0.0,1,1000,42.7,42.7,39.763999999999996,38.913333333333334,19000.0
2024-04-18,020007,1000,42730,42.73,42.73,42.73,42.73,0.0,1,1000,42.73,42.73,41.33,39.458571428571425,16428.571428571428
2024-04-23,020007,4000,165030,41.28,41.29,41.23,41.23,0.0,3,4000,41.29,41.23,41.646,39.68,14875.0
