date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,volume,high,low,MA5,MA20,Volume_avg
2023-09-19,8462,83956,11070901,136.0,136.0,130.5,131.0,-2.5,182,83956,136.0,130.5,131.0,131.0,83956.0
2023-09-20,8462,28362,3712377,131.0,131.5,130.5,130.5,-0.5,91,28362,131.5,130.5,130.75,130.75,56159.0
2023-09-21,8462,58693,7646969,131.0,131.0,129.5,131.0,0.5,83,58693,131.0,129.5,130.83333333333334,130.83333333333334,57003.666666666664
2023-09-22,8462,32415,4262804,130.0,133.0,130.0,132.0,1.0,58,32415,133.0,130.0,131.125,131.125,50856.5
2023-09-25,8462,41122,5433825,132.0,133.5,131.5,132.5,0.5,83,41122,133.5,131.5,131.4,131.4,48909.6
2023-09-26,8462,133730,17484465,132.5,132.5,129.5,131.0,-1.5,659,133730,132.5,129.5,131.4,131.33333333333334,63046.333333333336
2023-09-27,8462,67601,8803158,130.5,131.5,129.0,131.5,0.5,83,67601,131.5,129.0,131.6,131.35714285714286,63697.0
2023-09-28,8462,153191,19833207,129.5,130.5,129.0,129.0,-2.5,217,153191,130.5,129.0,131.2,131.0625,74883.75
2023-10-02,8462,143038,18249420,129.5,129.5,126.0,126.5,-2.5,305,143038,129.5,126.0,130.1,130.55555555555554,82456.44444444444
2023-10-03,8462,117321,14866294,127.0,128.0,125.5,125.5,-1.0,192,117321,128.0,125.5,128.7,130.05,85942.9
2023-10-04,8462,243275,29572833,125.5,125.5,119.0,122.5,-3.0,377,243275,125.5,119.0,127.0,129.36363636363637,100245.81818181818
2023-10-05,8462,116061,14156410,122.5,123.5,120.5,121.5,-1.0,241,116061,123.5,120.5,125.0,128.70833333333334,101563.75
2023-10-06,8462,117268,14239487,122.0,123.0,120.5,123.0,1.5,167,117268,123.0,120.5,123.8,128.26923076923077,102771.76923076923
2023-10-11,8462,156335,19109305,123.0,125.5,121.5,122.0,-1.0,203,156335,125.5,121.5,122.9,127.82142857142857,106597.71428571429
2023-10-12,8462,60675,7379825,123.0,123.0,121.0,122.0,0.0,130,60675,123.0,121.0,122.2,127.43333333333334,103536.2
2023-10-13,8462,175104,20842032,121.5,121.5,117.5,119.0,-3.0,271,175104,121.5,117.5,121.5,126.90625,108009.1875
2023-10-16,8462,98081,11569934,120.0,120.0,117.0,118.0,-1.0,216,98081,120.0,117.0,120.8,126.38235294117646,107425.17647058824
2023-10-17,8462,57346,6810675,119.5,119.5,117.5,118.0,0.0,118,57346,119.5,117.5,119.8,125.91666666666667,104643.0
