date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,volume,high,low,MA5,MA20,Volume_avg
2023-09-19,9136,206000,1250890,6.08,6.12,6.05,6.08,-0.01,30,206000,6.12,6.05,6.08,6.08,206000.0
2023-09-20,9136,101000,611970,6.08,6.08,6.04,6.06,-0.02,29,101000,6.08,6.04,6.07,6.07,153500.0
2023-09-21,9136,576020,3460580,6.05,6.05,5.99,6.0,-0.06,95,576020,6.05,5.99,6.046666666666667,6.046666666666667,294340.0
2023-09-22,9136,396000,2384820,6.0,6.1,6.0,6.05,0.05,48,396000,6.1,6.0,6.047499999999999,6.047499999999999,319755.0
2023-09-25,9136,285000,1738310,6.05,6.13,6.03,6.08,0.03,71,285000,6.13,6.03,6.054,6.054,312804.0
2023-09-26,9136,443998,2737137,6.11,6.22,6.09,6.12,0.04,98,443998,6.22,6.09,6.061999999999999,6.065,334669.6666666667
2023-09-27,9136,450001,2795366,6.2,6.25,6.16,6.23,0.11,117,450001,6.25,6.16,6.096,6.088571428571428,351145.5714285714
2023-09-28,9136,222000,1389800,6.22,6.3,6.2,6.29,0.06,80,222000,6.3,6.2,6.154,6.11375,335002.375
2023-10-02,9136,443000,2817940,6.3,6.45,6.29,6.39,0.1,136,443000,6.45,6.29,6.2219999999999995,6.144444444444444,347002.1111111111
2023-10-03,9136,49100,311634,6.36,6.39,6.28,6.35,-0.04,30,49100,6.39,6.28,6.276,6.165,317211.9
2023-10-04,9136,65000,407590,6.39,6.39,6.21,6.22,-0.13,36,65000,6.39,6.21,6.295999999999999,6.170000000000001,294283.54545454547
2023-10-05,9136,41000,259720,6.26,6.4,6.26,6.35,0.13,26,41000,6.4,6.26,6.319999999999999,6.185,273176.5833333333
2023-10-06,9136,99000,627270,6.3,6.38,6.3,6.38,0.03,40,99000,6.38,6.3,6.337999999999999,6.199999999999999,259778.38461538462
2023-10-11,9136,197000,1243990,6.3,6.37,6.28,6.34,-0.04,66,197000,6.37,6.28,6.327999999999999,6.21,255294.2142857143
2023-10-12,9136,160000,1015900,6.36,6.39,6.3,6.35,0.01,57,160000,6.39,6.3,6.328,6.219333333333333,248941.26666666666
2023-10-13,9136,89000,562260,6.31,6.35,6.29,6.35,0.0,38,89000,6.35,6.29,6.354,6.2275,238944.9375
2023-10-16,9136,65000,409910,6.38,6.38,6.28,6.32,-0.03,26,65000,6.38,6.28,6.348,6.232941176470588,228712.88235294117
2023-10-17,9136,56000,353590,6.36,6.36,6.28,6.35,0.03,17,56000,6.36,6.28,6.3420000000000005,6.239444444444445,219117.72222222222
2023-10-18,9136,45000,282350,6.35,6.35,6.24,6.29,-0.06,24,45000,6.35,6.24,6.332,6.242105263157894,209953.63157894736
2023-10-19,9136,31000,193880,6.25,6.29,6.23,6.29,0.0,17,31000,6.29,6.23,6.319999999999999,6.2445,201005.95
2023-10-20,9136,127000,778350,6.27,6.27,6.08,6.08,-0.21,44,127000,6.27,6.08,6.266,6.2445,197055.95
2023-10-23,9136,282001,1768716,6.24,6.37,6.19,6.32,0.24,43,282001,6.37,6.19,6.266,6.257499999999999,206106.0
2023-10-24,9136,41010,259203,6.35,6.35,6.26,6.35,0.03,26,41010,6.35,6.26,6.266,6.275,179355.5
2023-10-25,9136,25000,157130,6.27,6.32,6.25,6.3,-0.05,12,25000,6.32,6.25,6.268,6.2875,160805.5
2023-10-26,9136,57030,356038,6.28,6.3,6.2,6.25,-0.05,32,57030,6.3,6.2,6.26,6.296,149407.0
