date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,volume,high,low,MA5,MA20,Volume_avg
2023-09-19,6854,19054,2045332,107.5,108.0,106.5,108.0,0.5,13,19054,108.0,106.5,108.0,108.0,19054.0
2023-09-20,6854,32000,3442000,107.5,108.0,107.0,107.5,-0.5,21,32000,108.0,107.0,107.75,107.75,25527.0
2023-09-21,6854,102030,10729240,106.5,106.5,104.0,105.0,-2.5,70,102030,106.5,104.0,106.83333333333333,106.83333333333333,51028.0
2023-09-22,6854,62020,6440120,104.0,104.5,103.5,104.0,-1.0,39,62020,104.5,103.5,106.125,106.125,53776.0
2023-09-25,6854,59025,6104650,103.5,104.0,103.0,103.5,-0.5,36,59025,104.0,103.0,105.6,105.6,54825.8
2023-09-26,6854,62025,6349150,103.0,103.5,102.0,102.0,-1.5,55,62025,103.5,102.0,104.4,105.0,56025.666666666664
2023-09-27,6854,64000,6527000,101.5,103.0,101.0,102.0,0.0,45,64000,103.0,101.0,103.3,104.57142857142857,57164.857142857145
2023-09-28,6854,50018,5088854,102.0,102.5,101.5,102.0,0.0,39,50018,102.5,101.5,102.7,104.25,56271.5
2023-10-02,6854,59000,6076500,105.0,105.0,102.0,102.5,0.5,39,59000,105.0,102.0,102.4,104.05555555555556,56574.666666666664
2023-10-03,6854,240025,24196975,102.0,102.5,99.9,100.0,-2.5,147,240025,102.5,99.9,101.7,103.65,74919.7
2023-10-04,6854,154025,15416000,100.0,101.0,99.6,100.0,0.0,110,154025,101.0,99.6,101.3,103.31818181818181,82111.09090909091
2023-10-05,6854,97020,9712000,101.0,101.0,100.0,100.0,0.0,64,97020,101.0,100.0,100.9,103.04166666666667,83353.5
2023-10-06,6854,72000,7197200,100.5,100.5,99.8,99.9,-0.1,53,72000,100.5,99.8,100.47999999999999,102.80000000000001,82480.15384615384
2023-10-11,6854,135000,13383400,100.0,101.0,98.2,101.0,1.1,121,135000,101.0,98.2,100.17999999999999,102.67142857142858,86231.57142857143
2023-10-12,6854,131027,12946700,100.0,100.0,98.0,98.5,-2.5,89,131027,100.0,98.0,99.88,102.39333333333335,89217.93333333333
2023-10-13,6854,56100,5509800,98.5,98.7,97.8,98.0,-0.5,43,56100,98.7,97.8,99.47999999999999,102.11875,87148.0625
2023-10-16,6854,53071,5145051,98.0,98.0,96.5,96.5,-1.5,49,53071,98.0,96.5,98.78,101.78823529411765,85143.5294117647
2023-10-17,6854,48464,4666320,97.0,97.1,96.0,96.0,-0.5,45,48464,97.1,96.0,98.0,101.46666666666667,83105.77777777778
2023-10-18,6854,112070,10694084,97.0,97.5,93.9,95.2,-0.8,75,112070,97.5,93.9,96.84,101.13684210526316,84630.21052631579
2023-10-19,6854,46000,4341500,96.0,96.0,94.0,94.0,-1.2,38,46000,96.0,94.0,95.94000000000001,100.78,82698.7
2023-10-20,6854,148233,13668251,94.0,94.0,91.5,92.5,-1.5,87,148233,94.0,91.5,94.84,100.005,89157.65
2023-10-23,6854,171040,15417400,92.3,92.5,88.6,89.0,-3.5,120,171040,92.5,88.6,93.34,99.08,96109.65
2023-10-24,6854,205360,17866743,88.8,88.8,86.0,86.0,-3.0,118,205360,88.8,86.0,91.34,98.13,101276.15
2023-10-25,6854,187000,16014700,86.0,90.4,83.8,88.0,2.0,136,187000,90.4,83.8,89.9,97.33,107525.15
2023-10-26,6854,65000,5608400,86.9,86.9,85.6,85.6,-2.4,46,65000,86.9,85.6,88.22,96.435,107823.9
2023-10-27,6854,55000,4827200,88.3,90.0,86.0,86.1,0.5,42,55000,90.0,86.0,86.94,95.64,107472.65
2023-10-30,6854,47000,4080300,88.0,88.1,86.0,86.5,0.4,42,47000,88.1,86.0,86.44,94.865,106622.65
2023-11-01,6854,267000,24797500,93.2,95.1,90.8,91.2,0.0,219,267000,95.1,90.8,87.47999999999999,94.325,117471.75
2023-11-02,6854,35000,3175800,93.0,93.0,88.2,91.2,0.0,34,35000,93.0,88.2,88.11999999999999,93.76,116271.75
2023-11-03,6854,11000,1014700,92.4,92.4,92.0,92.0,0.8,10,11000,92.4,92.0,89.4,93.36,104820.5
2023-11-06,6854,23000,2126400,92.0,93.4,92.0,93.0,1.0,23,23000,93.4,92.0,90.78,93.01,98269.25
2023-11-07,6854,23000,2166500,94.5,94.8,93.4,93.7,0.7,22,23000,94.8,93.4,92.22,92.69500000000001,94568.25
2023-11-08,6854,16000,1496400,93.7,93.9,93.2,93.3,-0.4,15,16000,93.9,93.2,92.64,92.365,91768.25
2023-11-09,6854,28000,2578300,93.2,93.2,91.3,92.0,-1.3,25,28000,93.2,91.3,92.8,91.91499999999999,86418.25
2023-11-10,6854,8000,729500,91.9,91.9,90.0,90.9,-1.1,7,8000,91.9,90.0,92.58000000000001,91.535,80266.9
2023-11-13,6854,62030,5583027,90.3,90.8,89.8,90.0,-0.9,41,62030,90.8,89.8,91.98,91.13499999999999,80563.4
2023-11-14,6854,34000,3090200,90.0,91.8,90.0,91.8,1.8,23,34000,91.8,90.0,91.6,90.9,79609.85
2023-11-15,6854,109000,10129200,92.5,93.4,91.4,91.4,-0.4,84,109000,93.4,91.4,91.22,90.66999999999999,82636.65
2023-11-16,6854,24250,2251700,91.5,94.7,91.5,92.8,1.4,24,24250,94.7,91.5,91.38000000000001,90.55,78245.65
2023-11-17,6854,17000,1588000,92.1,93.7,92.1,93.6,0.8,15,17000,93.7,92.1,91.91999999999999,90.53,76795.65
2023-11-20,6854,63037,6196185,96.5,100.0,95.3,99.6,6.0,60,63037,100.0,95.3,93.84,90.885,72535.85
2023-11-21,6854,39000,3897000,99.5,101.0,99.0,99.8,0.2,33,39000,101.0,99.0,95.43999999999998,91.425,65933.85
2023-11-22,6854,13010,1268672,101.0,101.0,95.1,97.2,-2.6,12,13010,101.0,95.1,96.6,91.985,56316.35
2023-11-23,6854,12000,1177900,98.1,99.2,97.7,99.0,1.8,11,12000,99.2,97.7,97.84,92.535,47566.35
