date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,volume,high,low,MA5,MA20,Volume_avg
2023-09-19,4536,423659,73105487,170.0,174.0,170.0,172.5,3.0,455,423659,174.0,170.0,172.5,172.5,423659.0
2023-09-20,4536,285065,48625675,173.0,173.0,168.5,168.5,-4.0,323,285065,173.0,168.5,170.5,170.5,354362.0
2023-09-21,4536,189626,31615744,168.5,168.5,165.5,166.0,-2.5,214,189626,168.5,165.5,169.0,169.0,299450.0
2023-09-22,4536,114708,19038626,166.5,167.0,165.0,166.5,0.5,134,114708,167.0,165.0,168.375,168.375,253264.5
2023-09-25,4536,62144,10398353,166.5,168.0,166.5,167.0,0.5,100,62144,168.0,166.5,168.1,168.1,215040.4
2023-09-26,4536,93896,15568818,167.0,167.0,165.5,165.5,-1.5,135,93896,167.0,165.5,166.7,167.66666666666666,194849.66666666666
2023-09-27,4536,66252,11026010,166.0,167.5,165.0,167.0,1.5,93,66252,167.5,165.0,166.4,167.57142857142858,176478.57142857142
2023-09-28,4536,116669,19484875,168.0,168.0,166.5,166.5,-0.5,110,116669,168.0,166.5,166.5,167.4375,169002.375
2023-10-02,4536,184664,31234514,167.5,171.0,167.0,169.5,3.0,199,184664,171.0,167.0,167.1,167.66666666666666,170742.55555555556
2023-10-03,4536,248223,42576354,170.0,172.5,170.0,171.0,1.5,260,248223,172.5,170.0,167.9,168.0,178490.6
2023-10-04,4536,721659,125968313,171.0,178.0,170.5,175.5,4.5,810,721659,178.0,170.5,169.9,168.6818181818182,227869.54545454544
2023-10-05,4536,382153,67537992,178.0,178.5,175.0,176.0,0.5,455,382153,178.5,175.0,171.7,169.29166666666666,240726.5
2023-10-06,4536,236151,41293139,177.0,177.0,174.0,174.5,-1.5,284,236151,177.0,174.0,173.3,169.69230769230768,240374.53846153847
2023-10-11,4536,1624599,290624947,174.5,181.0,174.5,179.5,5.0,1266,1624599,181.0,174.5,175.3,170.39285714285714,339247.71428571426
2023-10-12,4536,649865,115985824,180.0,181.0,176.5,176.5,-3.0,1023,649865,181.0,176.5,176.4,170.8,359955.5333333333
2023-10-13,4536,285012,50415671,176.5,178.0,176.0,176.0,-0.5,399,285012,178.0,176.0,176.5,171.125,355271.5625
2023-10-16,4536,239036,41786781,176.0,176.0,173.5,174.0,-2.0,347,239036,176.0,173.5,176.1,171.2941176470588,348434.17647058825
2023-10-17,4536,474217,81331183,174.0,175.5,170.0,170.5,-3.5,1950,474217,175.5,170.0,175.3,171.25,355422.1111111111
2023-10-18,4536,1272335,219621247,170.0,177.0,169.0,172.0,1.5,1092,1272335,177.0,169.0,173.8,171.28947368421052,403680.6842105263
2023-10-19,4536,391499,66775734,171.5,172.5,168.5,170.0,-2.0,2138,391499,172.5,168.5,172.5,171.225,403071.6
2023-10-20,4536,303771,50710375,168.5,168.5,165.5,167.0,-3.0,2430,303771,168.5,165.5,170.7,170.95,397077.2
2023-10-23,4536,285888,46852623,165.5,165.5,162.0,164.0,-3.0,3053,285888,165.5,162.0,168.7,170.725,397118.35
2023-10-24,4536,331641,53848152,163.5,163.5,161.0,163.0,-1.0,311,331641,163.5,161.0,167.2,170.575,404219.1
2023-10-25,4536,245404,39916087,163.0,163.5,162.0,162.5,-0.5,266,245404,163.5,162.0,165.3,170.375,410753.9
2023-10-26,4536,249582,40416084,161.5,163.0,161.0,161.5,-1.0,264,249582,163.0,161.0,163.6,170.1,420125.8
2023-10-27,4536,165003,26988395,161.0,164.5,161.0,164.0,2.5,195,165003,164.5,161.0,163.0,170.025,423681.15
2023-10-30,4536,108524,17906662,164.5,166.0,164.0,165.0,1.0,222,108524,166.0,164.0,163.2,169.925,425794.75
2023-10-31,4536,326931,53475119,164.5,167.0,161.0,161.0,-4.0,333,326931,167.0,161.0,162.8,169.65,436307.85
2023-11-01,4536,85436,13806933,162.0,162.5,160.5,161.5,0.5,121,85436,162.5,160.5,162.6,169.25,431346.45
2023-11-02,4536,130703,21400072,162.0,165.5,162.0,164.0,2.5,153,130703,165.5,162.0,163.1,168.9,425470.45
2023-11-03,4536,97924,16172888,165.0,166.0,164.0,165.5,1.5,124,97924,166.0,164.0,163.4,168.4,394283.7
2023-11-06,4536,138310,23147156,166.5,168.5,166.5,168.0,2.5,176,138310,168.5,166.5,164.0,168.0,382091.55
2023-11-07,4536,92456,15433261,167.0,168.5,166.0,166.0,-2.0,130,92456,168.5,166.0,165.0,167.575,374906.8
2023-11-08,4536,108811,18240506,166.5,169.0,166.5,167.0,1.0,138,108811,169.0,166.5,166.1,166.95,299117.4
2023-11-09,4536,52772,8827046,168.5,168.5,166.5,168.0,1.0,76,52772,168.5,166.5,166.9,166.525,269262.75
2023-11-10,4536,510788,87094265,169.0,173.0,167.0,172.5,4.5,540,510788,173.0,167.0,168.3,166.35,280551.55
2023-11-13,4536,253464,43459289,172.5,173.0,169.5,172.0,-0.5,315,253464,173.0,169.5,169.1,166.25,281272.95
2023-11-14,4536,133170,22900920,171.0,173.0,171.0,172.5,0.5,772,133170,173.0,171.0,170.4,166.35,264220.6
