date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,volume,high,low,MA5,MA20,Volume_avg
2024-10-23,6988,283000,7675250,28.8,32.0,24.5,25.1,0.0,115,283000,32.0,24.5,25.1,25.1,283000.0
2024-10-24,6988,69000,1680750,25.15,25.15,24.0,24.2,-0.9,36,69000,25.15,24.0,24.65,24.65,176000.0
2024-10-25,6988,94000,2203950,24.7,24.7,23.0,23.8,-0.4,38,94000,24.7,23.0,24.366666666666664,24.366666666666664,148666.66666666666
2024-10-28,6988,75000,1775850,23.05,24.5,23.0,24.25,0.45,28,75000,24.5,23.0,24.3375,24.3375,130250.0
2024-10-29,6988,19000,449450,23.7,24.0,23.5,23.5,-0.75,7,19000,24.0,23.5,24.169999999999998,24.169999999999998,108000.0
2024-10-30,6988,23000,541550,23.9,23.9,23.5,23.8,0.3,11,23000,23.9,23.5,23.910000000000004,24.108333333333334,93833.33333333333
2024-11-01,6988,20000,473600,23.7,23.8,23.5,23.8,0.0,13,20000,23.8,23.5,23.830000000000002,24.064285714285713,83285.71428571429
2024-11-04,6988,32000,750550,23.3,23.6,23.3,23.6,-0.2,13,32000,23.6,23.3,23.79,24.00625,76875.0
2024-11-05,6988,21000,482800,23.0,23.0,22.8,23.0,-0.6,8,21000,23.0,22.8,23.54,23.894444444444446,70666.66666666667
2024-11-06,6988,29000,667900,23.0,23.2,23.0,23.0,0.0,11,29000,23.2,23.0,23.439999999999998,23.805,66500.0
2024-11-07,6988,26000,595750,22.9,23.0,22.9,22.95,-0.05,7,26000,23.0,22.9,23.27,23.727272727272727,62818.181818181816
2024-11-08,6988,20000,458200,23.0,23.0,22.8,22.9,-0.05,13,20000,23.0,22.8,23.09,23.65833333333333,59250.0
2024-11-11,6988,20000,455350,22.5,22.95,22.5,22.95,0.05,10,20000,22.95,22.5,22.959999999999997,23.603846153846156,56230.769230769234
2024-11-12,6988,20000,455450,22.9,22.95,22.6,22.6,-0.35,9,20000,22.95,22.6,22.88,23.532142857142855,53642.857142857145
2024-11-13,6988,84000,1923250,22.9,23.55,22.5,23.55,0.95,44,84000,23.55,22.5,22.990000000000002,23.533333333333335,55666.666666666664
2024-11-14,6988,67000,1540300,23.1,23.5,22.8,23.0,-0.55,27,67000,23.5,22.8,23.0,23.5,56375.0
2024-11-15,6988,80000,1834050,23.0,23.3,22.5,23.3,0.3,30,80000,23.3,22.5,23.080000000000002,23.488235294117647,57764.705882352944
2024-11-18,6988,10000,232100,23.0,23.3,23.0,23.3,0.0,9,10000,23.3,23.0,23.150000000000002,23.477777777777778,55111.11111111111
2024-11-19,6988,23000,533100,23.1,23.25,23.1,23.25,-0.05,22,23000,23.25,23.1,23.28,23.46578947368421,53421.05263157895
2024-11-20,6988,14000,323550,23.0,23.15,23.0,23.15,-0.1,12,14000,23.15,23.0,23.2,23.45,51450.0
2024-11-21,6988,10000,230250,23.0,23.05,23.0,23.05,-0.1,7,10000,23.05,23.0,23.21,23.3475,37800.0
2024-11-22,6988,10000,230300,23.0,23.05,23.0,23.05,0.0,8,10000,23.05,23.0,23.16,23.29,34850.0
2024-11-25,6988,14000,321800,23.0,23.0,22.9,23.0,-0.05,10,14000,23.0,22.9,23.1,23.25,30850.0
2024-11-26,6988,21000,483650,22.95,23.2,22.95,23.2,0.2,16,21000,23.2,22.95,23.089999999999996,23.197499999999998,28150.0
2024-11-27,6988,11000,254100,23.05,23.15,23.0,23.0,-0.2,9,11000,23.15,23.0,23.060000000000002,23.1725,27750.0
2024-11-28,6988,19000,437100,23.0,23.05,23.0,23.05,0.05,11,19000,23.05,23.0,23.06,23.135,27550.0
2024-11-29,6988,32000,741500,23.0,23.5,23.0,23.5,0.45,20,32000,23.5,23.0,23.15,23.12,28150.0
