date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,volume,high,low,MA5,MA20,Volume_avg
2023-09-19,6165,444099,14972808,34.1,34.45,33.4,33.6,-0.45,285,444099,34.45,33.4,33.6,33.6,444099.0
2023-09-20,6165,138078,4685533,33.6,34.2,33.5,34.15,0.55,126,138078,34.2,33.5,33.875,33.875,291088.5
2023-09-21,6165,437388,14829654,34.0,34.3,33.55,34.05,-0.1,264,437388,34.3,33.55,33.93333333333333,33.93333333333333,339855.0
2023-09-22,6165,104116,3554404,34.05,34.45,33.8,34.2,0.15,85,104116,34.45,33.8,34.0,34.0,280920.25
2023-09-25,6165,129053,4427815,34.05,34.6,34.05,34.3,0.1,119,129053,34.6,34.05,34.06,34.06,250546.8
2023-09-26,6165,174040,5968273,34.3,34.7,33.9,34.45,0.15,129,174040,34.7,33.9,34.230000000000004,34.125,237795.66666666666
2023-09-27,6165,168504,5802201,34.25,34.65,34.05,34.45,0.0,112,168504,34.65,34.05,34.29,34.17142857142857,227896.85714285713
2023-09-28,6165,234038,8127217,34.35,35.5,34.2,35.0,0.55,157,234038,35.5,34.2,34.48,34.275,228664.5
2023-10-02,6165,222251,7807029,35.0,35.25,34.95,35.05,0.05,185,222251,35.25,34.95,34.65,34.361111111111114,227951.88888888888
2023-10-03,6165,283800,10066905,34.95,35.8,34.95,35.4,0.35,183,283800,35.8,34.95,34.87,34.464999999999996,233536.7
2023-10-04,6165,149223,5253476,35.4,35.4,35.05,35.15,-0.25,135,149223,35.4,35.05,35.010000000000005,34.52727272727273,225871.81818181818
2023-10-05,6165,98378,3462416,35.15,35.45,35.1,35.2,0.05,109,98378,35.45,35.1,35.160000000000004,34.583333333333336,215247.33333333334
2023-10-06,6165,101178,3575263,35.1,35.6,35.05,35.5,0.3,94,101178,35.6,35.05,35.260000000000005,34.65384615384615,206472.76923076922
2023-10-11,6165,322013,11389749,35.55,35.7,34.8,35.5,0.0,192,322013,35.7,34.8,35.35,34.714285714285715,214725.64285714287
