date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,volume,high,low,MA5,MA20,Volume_avg
2023-09-19,2712,46024,1634301,35.45,35.6,35.45,35.45,0.1,39,46024,35.6,35.45,35.45,35.45,46024.0
2023-09-20,2712,42442,1504341,35.45,35.65,35.4,35.6,0.15,31,42442,35.65,35.4,35.525000000000006,35.525000000000006,44233.0
2023-09-21,2712,74271,2622865,35.15,35.95,34.3,35.85,0.25,59,74271,35.95,34.3,35.63333333333333,35.63333333333333,54245.666666666664
2023-09-22,2712,26234,935824,35.85,35.85,35.35,35.6,-0.25,27,26234,35.85,35.35,35.625,35.625,47242.75
2023-09-25,2712,13539,483839,35.6,35.85,35.5,35.6,0.0,16,13539,35.85,35.5,35.620000000000005,35.620000000000005,40502.0
2023-09-26,2712,19001,666885,35.35,35.5,34.75,34.75,-0.85,19,19001,35.5,34.75,35.480000000000004,35.475,36918.5
2023-09-27,2712,18500,652622,35.3,35.35,35.05,35.3,0.55,17,18500,35.35,35.05,35.42,35.45,34287.28571428572
2023-09-28,2712,29000,1026000,35.5,35.5,35.3,35.4,0.1,22,29000,35.5,35.3,35.33,35.44375,33626.375
2023-10-02,2712,3110,109437,35.4,35.4,34.85,35.3,-0.1,19,3110,35.4,34.85,35.269999999999996,35.42777777777778,30235.666666666668
2023-10-03,2712,27102,944064,35.25,35.3,34.6,34.9,-0.4,30,27102,35.3,34.6,35.13,35.375,29922.3
2023-10-04,2712,4096,142160,34.4,34.95,34.4,34.5,-0.4,6,4096,34.95,34.4,35.08,35.29545454545455,27574.454545454544
2023-10-05,2712,13074,454374,35.0,35.0,34.45,34.8,0.3,14,13074,35.0,34.45,34.98,35.25416666666667,26366.083333333332
2023-10-06,2712,8000,277650,34.8,34.8,34.5,34.8,0.0,8,8000,34.8,34.5,34.86,35.21923076923077,24953.30769230769
2023-10-11,2712,27014,929936,34.35,34.75,34.0,34.6,-0.2,28,27014,34.75,34.0,34.72,35.175,25100.5
2023-10-12,2712,42071,1448006,34.0,34.7,34.0,34.7,0.1,30,42071,34.7,34.0,34.68,35.14333333333333,26231.866666666665
2023-10-13,2712,14040,489950,34.75,35.0,34.5,34.9,0.2,12,14040,35.0,34.5,34.760000000000005,35.128125,25469.875
2023-10-16,2712,10000,342800,34.3,34.35,34.25,34.3,-0.6,8,10000,34.35,34.25,34.66,35.07941176470588,24559.882352941175
2023-10-17,2712,39000,1319350,34.1,34.1,33.6,34.0,-0.3,20,39000,34.1,33.6,34.5,35.019444444444446,25362.11111111111
2023-10-18,2712,83845,2815583,33.35,35.7,33.0,35.7,1.7,72,83845,35.7,33.0,34.720000000000006,35.055263157894736,28440.157894736843
2023-10-19,2712,37232,1289974,34.6,34.9,34.5,34.9,-0.8,36,37232,34.9,34.5,34.76,35.0475,28879.75
