date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,volume,high,low,MA5,MA20,Volume_avg
2023-09-19,2705,391435,6707481,17.2,17.25,17.05,17.1,-0.15,272,391435,17.25,17.05,17.1,17.1,391435.0
2023-09-20,2705,362379,6182112,17.1,17.2,17.0,17.0,-0.1,261,362379,17.2,17.0,17.05,17.05,376907.0
2023-09-21,2705,560413,9473470,17.0,17.0,16.8,16.85,-0.15,391,560413,17.0,16.8,16.983333333333334,16.983333333333334,438075.6666666667
2023-09-22,2705,365979,6236780,16.9,17.15,16.85,17.15,0.3,222,365979,17.15,16.85,17.025,17.025,420051.5
2023-09-25,2705,644705,11129008,17.15,17.4,17.15,17.3,0.15,339,644705,17.4,17.15,17.080000000000002,17.080000000000002,464982.2
2023-09-26,2705,518816,8872718,17.3,17.3,17.0,17.05,-0.25,393,518816,17.3,17.0,17.07,17.075,473954.5
2023-09-27,2705,252908,4326837,17.05,17.25,17.0,17.05,0.0,225,252908,17.25,17.0,17.08,17.071428571428573,442376.4285714286
2023-09-28,2705,444733,7659122,17.2,17.35,17.1,17.15,0.1,304,444733,17.35,17.1,17.14,17.08125,442671.0
2023-10-02,2705,580324,9937108,17.15,17.2,17.05,17.15,0.0,329,580324,17.2,17.05,17.14,17.08888888888889,457965.77777777775
2023-10-03,2705,943138,16167128,17.2,17.35,16.95,17.15,0.0,344,943138,17.35,16.95,17.11,17.095,506483.0
2023-10-04,2705,334920,5712717,17.15,17.15,17.0,17.0,-0.15,269,334920,17.15,17.0,17.1,17.086363636363636,490886.36363636365
2023-10-05,2705,347076,5976933,17.05,17.3,17.05,17.2,0.2,226,347076,17.3,17.05,17.130000000000003,17.095833333333335,478902.1666666667
2023-10-06,2705,214977,3676968,17.2,17.2,17.05,17.1,-0.1,162,214977,17.2,17.05,17.119999999999997,17.096153846153847,458600.23076923075
2023-10-11,2705,579126,9834148,17.1,17.1,16.85,16.9,-0.2,339,579126,17.1,16.85,17.07,17.08214285714286,467209.21428571426
2023-10-12,2705,400186,6791113,16.9,17.05,16.9,17.05,0.15,228,400186,17.05,16.9,17.05,17.08,462741.0
2023-10-13,2705,554597,9539453,17.05,17.45,17.05,17.1,0.05,352,554597,17.45,17.05,17.07,17.08125,468482.0
2023-10-16,2705,427146,7240701,17.0,17.05,16.85,16.85,-0.25,282,427146,17.05,16.85,17.000000000000004,17.06764705882353,466050.4705882353
2023-10-17,2705,838464,14057432,16.85,16.95,16.6,16.65,-0.2,665,838464,16.95,16.6,16.91,17.044444444444444,486740.1111111111
2023-10-18,2705,981821,16146317,16.6,16.7,16.3,16.3,-0.35,624,981821,16.7,16.3,16.790000000000003,17.00526315789474,512797.0
2023-10-19,2705,297815,4877178,16.4,16.5,16.3,16.4,0.1,262,297815,16.5,16.3,16.66,16.975,502047.9
2023-10-20,2705,359449,5865827,16.35,16.5,16.15,16.35,-0.05,278,359449,16.5,16.15,16.51,16.9375,500448.6
2023-10-23,2705,601030,9931582,16.3,16.75,16.3,16.45,0.1,495,601030,16.75,16.3,16.43,16.91,512381.15
2023-10-24,2705,209010,3463106,16.45,16.7,16.4,16.65,0.2,179,209010,16.7,16.4,16.43,16.9,494811.0
2023-10-25,2705,330137,5537425,16.65,16.85,16.65,16.8,0.15,186,330137,16.85,16.65,16.529999999999998,16.8825,493018.9
2023-10-26,2705,325042,5433417,16.65,16.9,16.6,16.7,-0.1,179,325042,16.9,16.6,16.59,16.8525,477035.75
2023-10-27,2705,325334,5478589,16.7,16.95,16.65,16.75,0.05,302,325334,16.95,16.65,16.669999999999998,16.8375,467361.65
2023-10-30,2705,447059,7501198,16.75,16.85,16.7,16.8,0.05,181,447059,16.85,16.7,16.740000000000002,16.825,477069.2
2023-10-31,2705,314688,5309451,16.85,17.05,16.7,16.7,-0.1,216,314688,17.05,16.7,16.75,16.802500000000002,470566.95
2023-11-01,2705,1531497,26235246,16.75,17.35,16.75,17.15,0.45,767,1531497,17.35,16.75,16.82,16.802500000000002,518125.6
2023-11-02,2705,584682,10038182,17.2,17.25,16.85,17.25,0.1,369,584682,17.25,16.85,16.93,16.8075,500202.8
2023-11-03,2705,427808,7369915,17.4,17.4,17.1,17.2,-0.05,236,427808,17.4,17.1,17.02,16.817500000000003,504847.2
2023-11-06,2705,1713228,30064612,17.4,17.8,17.2,17.5,0.3,996,1713228,17.8,17.2,17.16,16.832500000000003,573154.8
2023-11-07,2705,3309851,59127880,17.65,18.25,17.3,17.5,0.0,1659,3309851,18.25,17.3,17.32,16.8525,727898.5
2023-11-08,2705,506735,8797876,17.5,17.55,17.25,17.3,-0.2,418,506735,17.55,17.25,17.35,16.872500000000002,724278.95
2023-11-09,2705,300521,5188839,17.35,17.35,17.2,17.2,-0.1,254,300521,17.35,17.2,17.34,16.880000000000003,719295.7
2023-11-10,2705,500263,8700228,17.15,17.65,17.15,17.35,0.15,379,500263,17.65,17.15,17.369999999999997,16.8925,716579.0
2023-11-13,2705,224430,3883431,17.5,17.5,17.2,17.25,-0.1,261,224430,17.5,17.2,17.32,16.9125,706443.2
