stock_id,stock_name
6277,宏正
4968,立積
6277,宏正
4967,十銓
4967,十銓
6278,台表科
6278,台表科
4961,天鈺
4960,誠美材
6285,啟碁
4956,光鋐
6285,啟碁
4952,凌通
4956,光鋐
4958,臻鼎-KY
4960,誠美材
6283,淳安
6282,康舒
6282,康舒
6281,全國電
6281,全國電
4952,凌通
4958,臻鼎-KY
6525,捷敏-KY
6525,捷敏-KY
6283,淳安
4968,立積
4770,上品
5203,訊連
6533,晶心科
5007,三星
4999,鑫禾
6257,矽格
6239,力成
6239,力成
6533,晶心科
6243,迅杰
5203,訊連
6243,迅杰
4999,鑫禾
6257,矽格
4977,眾達-KY
4977,眾達-KY
6269,台郡
4976,佳凌
4976,佳凌
6526,達發
6271,同欣電
6271,同欣電
6526,達發
6269,台郡
6531,愛普*
4994,傳奇
4994,傳奇
4989,榮科
4989,榮科
6531,愛普*
6477,安集
6472,保瑞
4766,南寶
6505,台塑化
4912,聯德控股-KY
4915,致伸
6472,保瑞
4915,致伸
4916,事欣科
6464,台數科
6451,訊芯-KY
6451,訊芯-KY
6456,GIS-KY
6456,GIS-KY
6504,南六
4919,新唐
4919,新唐
4916,事欣科
4912,聯德控股-KY
6477,安集
4807,日成-KY
4904,遠傳
4771,望隼
4771,望隼
4770,上品
4927,泰鼎-KY
6491,晶碩
6491,晶碩
4904,遠傳
4766,南寶
4906,正文
4906,正文
4755,三福化
6449,鈺邦
6423,億而得-創
6423,億而得-創
4942,嘉彰
4763,材料*-KY
4943,康控-KY
6423,億而得-創
4943,康控-KY
4949,有成精密
4949,有成精密
6416,瑞祺電通
6416,瑞祺電通
6415,矽力*-KY
6405,悅城
6405,悅城
6515,穎崴
6409,旭隼
4755,三福化
6412,群電
6412,群電
6414,樺漢
6414,樺漢
6415,矽力*-KY
6409,旭隼
4942,嘉彰
6426,統新
6426,統新
4934,太極
6442,光聖
6442,光聖
4764,雙鍵
6443,元晶
6446,藥華藥
4930,燦星網
6446,藥華藥
4927,泰鼎-KY
6443,元晶
6449,鈺邦
4935,茂林-KY
4935,茂林-KY
6515,穎崴
4763,材料*-KY
6431,光麗-KY
6438,迅得
6431,光麗-KY
4938,和碩
4764,雙鍵
6438,迅得
4938,和碩
4934,太極
6214,精誠
6108,競國
6112,邁達特
6112,邁達特
6108,競國
6115,鎰勝
6116,彩晶
6116,彩晶
6117,迎廣
6117,迎廣
6115,鎰勝
5434,崇越
5434,崇越
5388,中磊
5388,中磊
6133,金橋
6133,金橋
6136,富爾特
6136,富爾特
6139,亞翔
6141,柏承
6141,柏承
6142,友勁
6142,友勁
6139,亞翔
6128,上福
6120,達運
6120,達運
6128,上福
5525,順天
5522,遠雄
5871,中租-KY
5876,上海商銀
5519,隆大
5880,合庫金
5521,工信
5515,建國
5531,鄉林
5607,遠雄港
5608,四維航
5706,鳳凰
5538,東明-KY
5534,長虹
5533,皇鼎
5546,永固-KY
5484,慧友
5471,松翰
5471,松翰
5484,慧友
5469,瀚宇博
5469,瀚宇博
5906,台南-KY
5907,大洋-KY
6005,群益證
6024,群益期
6235,華孚
6209,今國光
6213,聯茂
6213,聯茂
6209,今國光
6214,精誠
6215,和椿
6215,和椿
6216,居易
6216,居易
5244,弘凱
5244,弘凱
6206,飛捷
6197,佳必琪
5258,虹堡
6197,佳必琪
6201,亞弘電
6201,亞弘電
6202,盛群
6205,詮欣
6205,詮欣
6206,飛捷
6202,盛群
5258,虹堡
5243,乙盛-KY
5222,全訊
5222,全訊
6226,光鼎
5215,科嘉-KY
6230,尼得科超眾
5215,科嘉-KY
6235,華孚
6230,尼得科超眾
5243,乙盛-KY
6226,光鼎
5225,東科-KY
5234,達興材料
5234,達興材料
6225,天瀚
6224,聚鼎
6224,聚鼎
5225,東科-KY
6225,天瀚
6196,帆宣
6196,帆宣
6164,華興
6164,華興
5292,華懋
6165,浪凡
5288,豐祥-KY
6166,凌華
6166,凌華
6168,宏齊
6168,宏齊
6152,百一
6152,百一
6153,嘉聯益
6153,嘉聯益
6155,鈞寶
6155,鈞寶
5306,桂盟
5285,界霖
5269,祥碩
5269,祥碩
6189,豐藝
6189,豐藝
6191,精成科
6192,巨路
6192,巨路
6191,精成科
6176,瑞儀
5285,界霖
5284,jpp-KY
6176,瑞儀
5283,禾聯碩
6177,達麗
6183,關貿
6183,關貿
6184,大豐電
0050,元大台灣50
6768,志強-KY
6534,正瀚-創
7799,禾榮科
7799,禾榮科
8011,台通
8011,台通
8016,矽創
8070,長華*
8070,長華*
8072,陞泰
8072,陞泰
8081,致新
8081,致新
8021,尖點
8021,尖點
8028,昇陽半導體
8028,昇陽半導體
8033,雷虎
8016,矽創
8039,台虹
8045,達運光電
8045,達運光電
8046,南電
8046,南電
8039,台虹
7705,三商餐飲
7721,微程式
7722,LINEPAY
7631,聚賢研發-創
7631,聚賢研發-創
7631,聚賢研發-創
7610,聯友金屬-創
7610,聯友金屬-創
7765,中華資安
7780,大研生醫
7732,金興精密
7736,虎山
7740,熙特爾-創
7740,熙特爾-創
7749,意騰-KY
7749,意騰-KY
7750,新代
8499,鼎炫-KY
8926,台汽電
8499,鼎炫-KY
8488,吉源-KY
8487,愛爾達-創
8442,威宏-KY
8443,阿瘦
8454,富邦媒
8462,柏文
8940,新天地
8463,潤泰材
8466,美吉吉-KY
8467,波力-KY
8473,山林水
8476,台境*
8478,東哥遊艇
8481,政伸
8482,商億-KY
8487,愛爾達-創
8464,億豐
8438,昶昕
8996,高力
9934,成霖
9935,慶豐富
9937,全國
9938,百和
9939,宏全
9940,信義
